id,fir_id,name,gender,age
147,127,Lokesh Patil,M,25
148,128,Girish Desai,M,60
149,128,Darshan Reddy,M,61
150,130,Pooja Rao,F,55
151,130,Vinay Shastri,M,67
152,132,Asha Patil,F,36
153,133,Sowmya Hebbar,F,33
154,133,Lakshmi Patil,F,68
155,134,Santosh Patil,M,54
156,135,Pooja Patil,F,38
157,136,Darshan Gowda,M,67
158,137,Meena Murthy,F,70
159,138,Asha Naik,F,40
160,139,Ramesh Rao,M,45
161,140,Rekha Murthy,F,26
162,141,Meena Bhat,F,51
163,141,Lokesh Achar,M,42
164,142,Shruthi Patil,F,25
165,142,Kiran Kumar,M,24
166,143,Manjunath Poojary,M,30
167,143,Asha Murthy,F,65
168,144,Bhavya Nayak,F,47
169,146,Imran Kulkarni,M,22
170,147,Abdul Poojary,M,43
171,147,Umesh Hegde,M,26
172,149,Sowmya Nayak,F,57
173,149,Meena Kulkarni,F,65
174,150,Sowmya Murthy,F,68
175,150,Kiran Kulkarni,M,52
176,151,Bhavya Shastri,F,48
177,151,Imran Reddy,M,24
178,152,Ananya Shetty,F,32
179,153,Girish Rai,M,65
180,153,Prakash Hegde,M,43
181,154,Naveen Desai,M,39
182,154,Deepak Rao,M,52
183,155,Faizal Hebbar,M,40
184,155,Lokesh Bhat,M,62
185,156,Kavya Kumar,F,61
186,156,Divya Poojary,F,21
187,157,Lakshmi Naik,F,58
188,158,Anil Reddy,M,60
189,160,Sunil Nayak,M,19
190,161,Basavaraj Gowda,M,26
191,161,Bhavya Hebbar,F,18
192,162,Harish Rao,M,24
193,164,Imran Reddy,M,57
194,164,Pooja Desai,F,29
195,166,Deepak Bhat,M,18
196,167,Nagaraj Kulkarni,M,66
197,169,Kavya Gowda,F,42
198,169,Yashwanth Achar,M,61
199,170,Kavya Bhat,F,33
200,170,Roopa Kulkarni,F,27
201,171,Riyaz Rao,M,22
202,171,Faizal Desai,M,28
203,172,Yashwanth Desai,M,56
204,173,Chetan Murthy,M,20
205,175,Abdul Rao,M,27
206,176,Geetha Hebbar,F,48
207,176,Nisha Gowda,F,65
208,177,Ravi Hegde,M,65
209,178,Praveen Reddy,M,69
210,179,Bhavya Naik,F,19
211,181,Nagaraj Desai,M,43
212,183,Bhavya Desai,F,57
213,183,Ananya Shastri,F,33
214,184,Anil Hebbar,M,57
215,184,Geetha Reddy,F,39
216,185,Mahesh Hebbar,M,66
217,186,Suresh Bhat,M,36
218,187,Prakash Desai,M,70
219,188,Yashwanth Patil,M,42
220,188,Rekha Kumar,F,70
221,189,Basavaraj Murthy,M,40
222,191,Ananya Poojary,F,58
223,193,Divya Bhat,F,70
224,193,Shruthi Reddy,F,45
225,196,Sowmya Kumar,F,39
226,198,Nisha Shetty,F,53
227,198,Nagaraj Rai,M,65
228,199,Asha Gowda,F,41
229,201,Rekha Rai,F,38
230,202,Bhavya Rai,F,59
231,203,Ananya Shastri,F,37
232,205,Santosh Rao,M,19
233,205,Praveen Kumar,M,60
234,206,Pooja Murthy,F,64
235,206,Abdul Reddy,M,50
236,207,Ravi Achar,M,51
237,208,Ramesh Patil,M,48
238,209,Vidya Shastri,F,54
239,209,Shivaraj Kumar,M,31
240,211,Girish Desai,M,22
241,211,Yashwanth Naik,M,64
242,212,Ravi Hegde,M,70
243,213,Kiran Rai,M,37
244,214,Lakshmi Desai,F,28
245,214,Ramesh Poojary,M,63
246,215,Lakshmi Rai,F,62
247,216,Darshan Shetty,M,52
248,216,Lakshmi Gowda,F,61
249,217,Divya Patil,F,59
250,217,Mahesh Shetty,M,26
251,218,Ravi Kulkarni,M,36
252,218,Pooja Rao,F,68
253,220,Riyaz Bhat,M,43
254,221,Sunil Shetty,M,60
255,222,Umesh Murthy,M,36
256,223,Darshan Shastri,M,40
257,225,Prakash Patil,M,33
258,225,Meena Nayak,F,31
259,226,Ganesh Poojary,M,40
260,226,Shruthi Poojary,F,36
261,227,Meena Hegde,F,31
262,227,Faizal Poojary,M,36
263,233,Mahesh Kumar,M,69
264,233,Manjunath Naik,M,62
265,234,Asha Gowda,F,52
266,236,Lakshmi Reddy,F,54
267,237,Girish Rao,M,27
268,237,Nisha Rai,F,22
269,239,Vidya Shastri,F,70
270,239,Roopa Nayak,F,41
271,242,Shivaraj Shetty,M,48
272,243,Roopa Desai,F,45
273,243,Ganesh Naik,M,21
274,244,Imran Hebbar,M,67
275,245,Girish Murthy,M,45
276,246,Kavya Kulkarni,F,42
277,247,Deepak Rao,M,62
278,248,Shivaraj Gowda,M,36
279,248,Lokesh Desai,M,57
280,249,Rekha Shetty,F,61
281,249,Sowmya Rai,F,56
282,251,Mahesh Poojary,M,28
283,251,Santosh Gowda,M,24
284,252,Nisha Shastri,F,27
285,252,Riyaz Patil,M,63
286,253,Sowmya Naik,F,60
287,253,Harish Patil,M,23
288,254,Asha Hebbar,F,68
289,255,Santosh Rai,M,33
290,256,Geetha Gowda,F,19
291,257,Abdul Kulkarni,M,52
292,258,Deepak Desai,M,59
293,259,Shruthi Achar,F,68
294,260,Ramesh Patil,M,57
295,260,Divya Rai,F,18
296,261,Shruthi Rao,F,50
297,263,Pooja Kumar,F,70
298,264,Yashwanth Naik,M,49
299,265,Lakshmi Hegde,F,33
300,265,Kiran Bhat,M,51
301,266,Geetha Poojary,F,32
302,268,Santosh Reddy,M,30
303,269,Roopa Reddy,F,41
304,270,Ravi Rai,M,28
305,271,Sowmya Kumar,F,39
306,272,Shruthi Gowda,F,30
307,273,Lokesh Patil,M,59
308,274,Bhavya Patil,F,18
309,275,Rekha Desai,F,61
310,275,Vidya Desai,F,39
311,277,Suresh Reddy,M,37
312,278,Kavya Patil,F,42
313,280,Ramesh Patil,M,63
314,281,Meena Naik,F,44
315,281,Bhavya Reddy,F,39
316,282,Asha Shastri,F,61
317,282,Prakash Naik,M,44
318,283,Asha Murthy,F,21
319,283,Umesh Hebbar,M,47
320,284,Divya Naik,F,26
321,285,Kavya Shastri,F,63
322,285,Roopa Hegde,F,49
323,286,Riyaz Shetty,M,39
324,287,Chetan Desai,M,56
325,287,Pooja Reddy,F,65
326,288,Naveen Murthy,M,60
327,288,Rekha Murthy,F,56
328,289,Ananya Reddy,F,23
329,289,Kumar Kumar,M,39
330,291,Meena Kulkarni,F,37
331,291,Shruthi Hebbar,F,26
332,292,Rekha Shetty,F,26
333,294,Divya Murthy,F,26
334,295,Kavya Naik,F,47
335,297,Rekha Reddy,F,18
336,297,Suresh Shastri,M,66
337,298,Ramesh Rai,M,66
338,298,Meena Naik,F,64
339,299,Vidya Kumar,F,26
340,300,Kavya Naik,F,55
341,301,Rekha Shastri,F,48
342,302,Nagaraj Achar,M,23
343,303,Manjunath Kulkarni,M,63
344,304,Geetha Kumar,F,23
345,305,Suresh Shetty,M,33
346,305,Rekha Naik,F,52
347,306,Kiran Reddy,M,53
348,307,Mahesh Kulkarni,M,54
349,310,Vidya Bhat,F,33
350,310,Ganesh Kulkarni,M,35
351,311,Bhavya Hegde,F,23
352,311,Chetan Kumar,M,64
353,312,Geetha Desai,F,49
354,314,Shruthi Patil,F,20
355,315,Harish Shastri,M,56
356,316,Imran Shastri,M,55
357,317,Rekha Poojary,F,70
358,317,Anil Achar,M,33
359,318,Vidya Rao,F,21
360,318,Shruthi Reddy,F,26
361,319,Bhavya Bhat,F,54
362,320,Umesh Naik,M,51
363,320,Abdul Kulkarni,M,66
364,321,Pooja Shetty,F,35
365,322,Anil Reddy,M,65
366,323,Shruthi Desai,F,20
367,323,Naveen Shastri,M,29
368,326,Girish Reddy,M,35
369,327,Meena Kumar,F,39
370,329,Bhavya Reddy,F,28
371,330,Shruthi Reddy,F,49
372,330,Lokesh Gowda,M,38
373,331,Kiran Hegde,M,34
374,332,Meena Kulkarni,F,64
375,333,Nisha Rai,F,58
376,333,Prakash Achar,M,23
377,334,Asha Kumar,F,53
378,336,Abdul Poojary,M,49
379,338,Ganesh Rao,M,51
380,339,Roopa Gowda,F,62
381,339,Sowmya Kulkarni,F,19
382,340,Pooja Shastri,F,47
383,341,Kavya Shetty,F,45
384,343,Roopa Hebbar,F,68
385,344,Shivaraj Shastri,M,46
386,345,Deepak Bhat,M,26
387,345,Lakshmi Bhat,F,43
388,347,Prakash Achar,M,68
389,347,Manjunath Murthy,M,41
390,348,Suresh Hebbar,M,31
391,348,Nagaraj Naik,M,52
392,351,Manjunath Shetty,M,41
393,352,Faizal Rai,M,23
394,352,Mahesh Naik,M,57
395,353,Geetha Kulkarni,F,21
396,354,Shivaraj Reddy,M,61
397,355,Prakash Shastri,M,29
398,356,Manjunath Nayak,M,60
399,357,Harish Patil,M,41
400,357,Geetha Naik,F,63
401,358,Bhavya Hegde,F,69
402,358,Ganesh Naik,M,67
403,360,Girish Hebbar,M,57
404,361,Basavaraj Patil,M,18
405,361,Vinay Hebbar,M,65
406,362,Pooja Naik,F,18
407,362,Lakshmi Hebbar,F,40
408,364,Rekha Gowda,F,40
409,364,Meena Kumar,F,67
410,365,Suresh Reddy,M,37
411,365,Ramesh Kulkarni,M,64
412,366,Meena Gowda,F,26
413,367,Bhavya Achar,F,50
414,367,Vidya Kumar,F,21
415,368,Kiran Desai,M,69
416,368,Nagaraj Hebbar,M,44
417,369,Kumar Kumar,M,37
418,370,Asha Desai,F,30
419,370,Geetha Nayak,F,68
420,371,Basavaraj Reddy,M,36
421,372,Roopa Achar,F,70
422,374,Asha Desai,F,23
423,376,Rekha Patil,F,44
424,376,Praveen Reddy,M,56
425,377,Anil Shetty,M,50
426,378,Shruthi Murthy,F,32
427,380,Nisha Desai,F,28
428,380,Deepak Patil,M,44
429,381,Vidya Naik,F,37
430,382,Ananya Hegde,F,62
431,382,Divya Kulkarni,F,18
432,383,Naveen Poojary,M,55
433,383,Praveen Hegde,M,35
434,386,Ramesh Kulkarni,M,44
435,386,Mahesh Achar,M,50
436,387,Divya Achar,F,60
437,387,Bhavya Naik,F,21
438,388,Vinay Desai,M,36
439,388,Riyaz Naik,M,55
440,389,Nisha Hegde,F,63
441,390,Shivaraj Murthy,M,39
442,391,Ramesh Naik,M,48
443,392,Roopa Achar,F,30
444,392,Roopa Patil,F,50
445,393,Vinay Hegde,M,21
446,393,Santosh Hebbar,M,29
447,394,Kavya Kumar,F,64
448,394,Vinay Reddy,M,39
449,395,Bhavya Hegde,F,39
450,395,Darshan Poojary,M,57
451,396,Lakshmi Nayak,F,19
452,396,Yashwanth Murthy,M,20
453,397,Sowmya Gowda,F,44
454,397,Sunil Hebbar,M,45
455,399,Nisha Gowda,F,28
456,400,Sunil Nayak,M,61
457,400,Pooja Desai,F,40
458,401,Kumar Gowda,M,61
459,402,Shruthi Reddy,F,21
460,402,Nisha Achar,F,56
461,403,Praveen Patil,M,33
462,404,Suresh Shetty,M,55
463,405,Divya Reddy,F,62
464,405,Shruthi Gowda,F,65
465,406,Vinay Desai,M,25
466,406,Lokesh Reddy,M,68
467,407,Imran Rai,M,31
468,407,Deepak Kulkarni,M,26
469,409,Basavaraj Rao,M,46
470,410,Manjunath Desai,M,34
471,410,Roopa Rai,F,51
472,411,Girish Hebbar,M,38
473,412,Geetha Hegde,F,31
474,412,Umesh Gowda,M,20
475,413,Riyaz Bhat,M,22
476,418,Harish Achar,M,64
477,419,Anil Gowda,M,24
478,420,Mahesh Reddy,M,51
479,420,Mahesh Desai,M,60
480,421,Prakash Gowda,M,30
481,422,Vidya Bhat,F,20
482,423,Abdul Hebbar,M,49
483,423,Manjunath Desai,M,69
484,424,Bhavya Rai,F,49
485,425,Basavaraj Desai,M,68
486,426,Umesh Kulkarni,M,55
487,429,Ramesh Gowda,M,58
488,431,Yashwanth Kulkarni,M,52
489,432,Rekha Rao,F,46
490,434,Nisha Patil,F,26
491,435,Faizal Desai,M,54
492,436,Nisha Reddy,F,28
493,436,Mahesh Kulkarni,M,32
494,437,Darshan Naik,M,68
495,438,Naveen Kulkarni,M,58
496,440,Ananya Patil,F,44
497,440,Meena Shastri,F,67
498,441,Pooja Poojary,F,21
499,442,Asha Rao,F,46
500,444,Riyaz Nayak,M,66
501,445,Geetha Shetty,F,53
502,446,Harish Patil,M,50
503,447,Asha Kumar,F,21
504,447,Asha Shetty,F,62
505,448,Suresh Achar,M,49
506,449,Manjunath Murthy,M,35
507,450,Shivaraj Naik,M,24
508,451,Kumar Murthy,M,24
509,451,Suresh Hegde,M,61
510,452,Meena Shetty,F,57
511,453,Harish Reddy,M,27
512,454,Kumar Kumar,M,31
513,454,Bhavya Shetty,F,33
514,456,Vidya Shastri,F,24
515,457,Darshan Nayak,M,56
516,458,Sowmya Desai,F,24
517,459,Santosh Patil,M,18
518,459,Divya Bhat,F,64
519,460,Abdul Rai,M,47
520,460,Umesh Kulkarni,M,18
521,461,Faizal Hegde,M,55
522,462,Bhavya Gowda,F,54
523,463,Nisha Bhat,F,52
524,464,Girish Shastri,M,22
525,464,Manjunath Achar,M,56
526,466,Shruthi Kumar,F,41
527,466,Lokesh Nayak,M,27
528,468,Asha Reddy,F,25
529,469,Girish Naik,M,61
530,470,Ananya Murthy,F,31
531,470,Manjunath Shetty,M,20
532,471,Suresh Kulkarni,M,21
533,472,Ravi Kumar,M,53
534,473,Kiran Rai,M,30
535,473,Asha Murthy,F,64
536,474,Darshan Achar,M,68
537,474,Vidya Hegde,F,32
538,475,Imran Shetty,M,69
539,476,Manjunath Desai,M,26
540,476,Rekha Murthy,F,57
541,478,Yashwanth Reddy,M,21
542,478,Manjunath Kulkarni,M,60
543,479,Mahesh Patil,M,31
544,480,Roopa Rao,F,41
545,481,Divya Shastri,F,43
546,481,Lokesh Naik,M,48
547,482,Shivaraj Desai,M,38
548,484,Manjunath Gowda,M,32
549,485,Ananya Shetty,F,61
550,485,Shruthi Kulkarni,F,35
551,488,Lakshmi Kumar,F,56
552,489,Suresh Shastri,M,30
553,490,Darshan Naik,M,29
554,490,Faizal Reddy,M,45
555,491,Kiran Kulkarni,M,49
556,493,Ananya Achar,F,67
557,495,Lokesh Desai,M,27
558,496,Nisha Hebbar,F,26
559,497,Sowmya Rao,F,22
560,497,Prakash Hegde,M,68
561,498,Nisha Achar,F,55
562,499,Basavaraj Kumar,M,47
563,499,Kavya Reddy,F,66
564,500,Kavya Shastri,F,20
