id,criminal_id,type,line,district,lat,lng
51,35,hideout,Suspected hideout near Mandya,Mandya,12.570143557172454,76.92610984336082
52,36,residence,"184, Main Rd, Vijayapura",Vijayapura,16.870545439901576,75.6842554930644
53,36,hideout,Suspected hideout near Mandya,Mandya,12.553099749707803,76.86314166310206
54,37,residence,"143, Cross Rd, Vijayapura",Vijayapura,16.84159590269886,75.65854888138361
55,38,residence,"79, Layout Rd, Mysuru",Mysuru,12.214624721546844,76.63525451068357
56,38,hideout,Suspected hideout near Vijayapura,Vijayapura,16.755228193648907,75.76593039132653
57,39,residence,"51, Main Rd, Dakshina Kannada",Dakshina Kannada,12.879442684672213,74.77739802156016
58,39,hideout,Suspected hideout near Udupi,Udupi,13.291198314075917,74.79464996059927
59,40,residence,"138, Layout Rd, Hubballi-Dharwad",Hubballi-Dharwad,15.372568311610072,75.13926148439384
60,40,hideout,Suspected hideout near Kalaburagi,Kalaburagi,17.276205512362345,76.76159010973126
61,41,residence,"47, Cross Rd, Hubballi-Dharwad",Hubballi-Dharwad,15.372393270691669,75.17880409165379
62,42,residence,"1, Main Rd, Tumakuru",Tumakuru,13.372564317569696,77.17102325072996
63,42,hideout,Suspected hideout near Shivamogga,Shivamogga,13.908874643941036,75.57186617010217
64,43,residence,"197, Layout Rd, Dakshina Kannada",Dakshina Kannada,12.883737554883956,74.79793142871837
65,43,hideout,Suspected hideout near Dakshina Kannada,Dakshina Kannada,12.960350952403061,74.83542840635776
66,44,residence,"123, Layout Rd, Vijayapura",Vijayapura,16.817581230434403,75.69374798688105
67,45,residence,"134, Layout Rd, Bengaluru Urban",Bengaluru Urban,13.003399184749835,77.50700384085569
68,45,hideout,Suspected hideout near Kalaburagi,Kalaburagi,17.314192492456918,76.86427683666646
69,46,residence,"52, Layout Rd, Dakshina Kannada",Dakshina Kannada,12.989194804409891,74.9214051566217
70,46,hideout,Suspected hideout near Udupi,Udupi,13.362973591127991,74.81734149295407
71,47,residence,"164, Cross Rd, Dakshina Kannada",Dakshina Kannada,12.921147039787284,74.89678060467728
72,48,residence,"99, Layout Rd, Bengaluru Urban",Bengaluru Urban,12.982637320396863,77.60041405139528
73,49,residence,"84, Cross Rd, Tumakuru",Tumakuru,13.384142441292852,77.14717702651416
74,50,residence,"4, Layout Rd, Vijayapura",Vijayapura,16.867806792305597,75.6294525142759
75,51,residence,"117, Cross Rd, Mandya",Mandya,12.433956096093356,76.84948501015975
76,51,hideout,Suspected hideout near Mysuru,Mysuru,12.371513511952198,76.67474842005
77,52,residence,"194, Layout Rd, Bengaluru Urban",Bengaluru Urban,12.966207714489103,77.60900802539233
78,52,hideout,Suspected hideout near Mysuru,Mysuru,12.364192009260133,76.60341334550697
79,53,residence,"171, Main Rd, Tumakuru",Tumakuru,13.419410204048827,77.14639347514156
80,53,hideout,Suspected hideout near Mandya,Mandya,12.56654995784182,76.86058836545291
81,54,residence,"161, Layout Rd, Belagavi",Belagavi,15.813642783586682,74.47574025041405
82,55,residence,"171, Main Rd, Mandya",Mandya,12.51099423339609,76.94231865292377
83,56,residence,"190, Main Rd, Vijayapura",Vijayapura,16.799629967538454,75.69598594828042
84,56,hideout,Suspected hideout near Belagavi,Belagavi,15.823833954755962,74.51137080943192
85,57,residence,"161, Main Rd, Belagavi",Belagavi,15.854521080896072,74.52456338795348
86,58,residence,"179, Cross Rd, Mandya",Mandya,12.520300663421116,76.97657229374126
87,58,hideout,Suspected hideout near Vijayapura,Vijayapura,16.777608023141326,75.71707148015965
88,59,residence,"89, Layout Rd, Vijayapura",Vijayapura,16.89663265611958,75.69318654450122
89,59,hideout,Suspected hideout near Hubballi-Dharwad,Hubballi-Dharwad,15.374752613364532,75.19674710893631
90,60,residence,"69, Layout Rd, Ballari",Ballari,15.168920882759243,76.89716241223607
91,60,hideout,Suspected hideout near Belagavi,Belagavi,15.800990585566312,74.4701604124436
92,61,residence,"185, Cross Rd, Udupi",Udupi,13.2806748604184,74.7058495367974
93,61,hideout,Suspected hideout near Belagavi,Belagavi,15.805018181905895,74.53358145586661
94,62,residence,"60, Main Rd, Hubballi-Dharwad",Hubballi-Dharwad,15.294650004233977,75.06792028112895
95,63,residence,"55, Layout Rd, Belagavi",Belagavi,15.807075821159222,74.51270981699675
96,64,residence,"56, Main Rd, Shivamogga",Shivamogga,13.857275273429789,75.60297262890208
97,65,residence,"174, Main Rd, Mysuru",Mysuru,12.234515384965762,76.66778022098876
98,66,residence,"17, Cross Rd, Udupi",Udupi,13.421130436758137,74.73104285690505
99,67,residence,"169, Cross Rd, Belagavi",Belagavi,15.896590761135146,74.4936312505275
100,68,residence,"38, Cross Rd, Mandya",Mandya,12.520825360752829,76.97224650021604
101,69,residence,"79, Layout Rd, Hubballi-Dharwad",Hubballi-Dharwad,15.3505741164254,75.13457204602285
102,70,residence,"193, Layout Rd, Vijayapura",Vijayapura,16.76625424767826,75.76150191810447
103,70,hideout,Suspected hideout near Hubballi-Dharwad,Hubballi-Dharwad,15.389254123086854,75.19308702862449
