AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
238,169,Santosh Bhat,30,1,A1
239,169,Sunil Shastri,44,1,A2
240,170,Pooja Nayak,36,2,A1
241,170,Ganesh Nayak,46,1,A2
242,171,Darshan Achar,43,1,A1
243,171,Faizal Kumar,46,1,A2
244,172,Kiran Hegde,54,1,A1
245,172,Ganesh Nayak,46,1,A2
246,173,Abdul Shetty,58,1,A1
247,173,Ganesh Nayak,46,1,A2
248,174,Anil Rai,40,1,A1
249,175,Vinay Bhat,34,1,A1
250,175,Umesh Shastri,42,1,A2
251,176,Darshan Achar,43,1,A1
252,176,Meena Gowda,20,2,A2
253,177,Basavaraj Kumar,49,1,A1
254,177,Yashwanth Rao,53,1,A2
255,179,Ganesh Hegde,37,1,A1
256,180,Ravi Reddy,55,1,A1
257,181,Santosh Bhat,30,1,A1
258,182,Chetan Shetty,48,1,A1
259,186,Shivaraj Hebbar,48,1,A1
260,187,Nagaraj Patil,29,1,A1
261,187,Anil Rai,40,1,A2
262,188,Shivaraj Hebbar,48,1,A1
263,188,Anil Rai,40,1,A2
264,188,Lokesh Reddy,54,1,A3
265,190,Riyaz Shetty,20,1,A1
266,191,Praveen Desai,55,1,A1
267,193,Shruthi Kumar,44,2,A1
268,193,Anil Murthy,42,1,A2
269,193,Faizal Reddy,21,1,A3
270,194,Divya Kumar,39,2,A1
271,194,Ramesh Shastri,57,1,A2
272,194,Sunil Shastri,44,1,A3
273,195,Nagaraj Patil,29,1,A1
274,195,Chetan Shetty,48,1,A2
275,196,Deepak Kumar,56,1,A1
276,196,Abdul Shetty,58,1,A2
277,196,Abdul Desai,23,1,A3
278,197,Ganesh Reddy,31,1,A1
279,198,Mahesh Murthy,58,1,A1
280,198,Darshan Rai,47,1,A2
281,199,Lokesh Reddy,54,1,A1
282,199,Yashwanth Rao,53,1,A2
283,201,Darshan Achar,43,1,A1
284,202,Lokesh Reddy,54,1,A1
285,203,Chetan Desai,41,1,A1
286,203,Santosh Rai,24,1,A2
287,203,Pooja Nayak,36,2,A3
288,204,Sunil Shastri,44,1,A1
289,204,Imran Reddy,51,1,A2
290,204,Deepak Kumar,56,1,A3
291,205,Anil Murthy,42,1,A1
292,205,Ganesh Naik,36,1,A2
293,205,Ramesh Shastri,57,1,A3
294,206,Shivaraj Hebbar,48,1,A1
295,206,Anil Shetty,51,1,A2
296,206,Praveen Desai,55,1,A3
297,207,Shivaraj Hebbar,48,1,A1
298,208,Rekha Naik,23,2,A1
299,209,Divya Kumar,58,2,A1
300,209,Ganesh Nayak,46,1,A2
301,209,Ramesh Patil,40,1,A3
302,210,Yashwanth Rao,53,1,A1
303,211,Basavaraj Reddy,58,1,A1
304,211,Shivaraj Hebbar,48,1,A2
305,212,Ravi Reddy,55,1,A1
306,216,Pooja Nayak,36,2,A1
307,216,Ravi Rai,29,1,A2
308,216,Faizal Kumar,46,1,A3
309,217,Sunil Hegde,38,1,A1
310,218,Abdul Desai,23,1,A1
311,219,Vinay Bhat,34,1,A1
312,219,Sunil Hegde,38,1,A2
313,220,Yashwanth Rao,53,1,A1
314,220,Abdul Desai,23,1,A2
315,220,Ravi Rai,29,1,A3
316,221,Basavaraj Kumar,49,1,A1
317,222,Anil Rai,36,1,A1
318,222,Pooja Nayak,36,2,A2
319,223,Harish Shastri,33,1,A1
320,223,Chetan Shetty,48,1,A2
321,223,Ganesh Reddy,31,1,A3
322,224,Lokesh Reddy,54,1,A1
323,224,Harish Shastri,33,1,A2
324,225,Ramesh Patil,40,1,A1
325,225,Mahesh Murthy,58,1,A2
326,226,Ganesh Hegde,37,1,A1
327,226,Prakash Hebbar,23,1,A2
328,226,Harish Kulkarni,57,1,A3
329,228,Prakash Bhat,22,1,A1
330,228,Roopa Rao,33,2,A2
331,231,Deepak Kumar,56,1,A1
332,231,Darshan Hebbar,50,1,A2
333,232,Roopa Rao,33,2,A1
334,234,Ramesh Murthy,57,1,A1
335,234,Ramesh Shastri,57,1,A2
336,236,Ganesh Reddy,31,1,A1
337,238,Mahesh Rai,56,1,A1
338,238,Girish Achar,48,1,A2
339,239,Anil Rai,40,1,A1
340,239,Abdul Shetty,58,1,A2
341,239,Rekha Naik,23,2,A3
342,240,Riyaz Shetty,20,1,A1
343,241,Girish Achar,48,1,A1
344,241,Deepak Kumar,56,1,A2
345,242,Kavya Rai,39,2,A1
346,242,Ramesh Shastri,57,1,A2
347,243,Sunil Hegde,38,1,A1
348,243,Anil Rai,36,1,A2
349,243,Ganesh Hegde,37,1,A3
350,244,Sunil Shetty,36,1,A1
351,244,Santosh Rai,24,1,A2
352,244,Riyaz Hebbar,27,1,A3
353,245,Sunil Hegde,38,1,A1
354,245,Ravi Reddy,55,1,A2
355,245,Mahesh Rai,56,1,A3
356,246,Lakshmi Kumar,26,2,A1
357,247,Ganesh Nayak,46,1,A1
358,250,Vinay Bhat,34,1,A1
359,250,Harish Kulkarni,57,1,A2
360,250,Sunil Hegde,38,1,A3
361,251,Harish Murthy,19,1,A1
362,251,Faizal Reddy,21,1,A2
363,251,Harish Shastri,33,1,A3
364,252,Darshan Achar,43,1,A1
365,253,Ramesh Murthy,57,1,A1
366,254,Vinay Naik,23,1,A1
367,254,Shruthi Gowda,23,2,A2
368,254,Shruthi Kumar,44,2,A3
369,255,Meena Kumar,21,2,A1
370,255,Shivaraj Achar,52,1,A2
371,256,Santosh Rai,24,1,A1
372,256,Abdul Desai,23,1,A2
373,257,Abdul Shetty,58,1,A1
374,261,Shruthi Gowda,23,2,A1
375,262,Deepak Kumar,56,1,A1
376,262,Ramesh Murthy,57,1,A2
377,263,Ganesh Reddy,31,1,A1
378,263,Pooja Nayak,36,2,A2
379,263,Shruthi Kumar,44,2,A3
380,266,Lokesh Reddy,54,1,A1
381,267,Nisha Desai,39,2,A1
382,267,Meena Kumar,21,2,A2
383,267,Nagaraj Patil,29,1,A3
384,268,Umesh Shastri,42,1,A1
385,268,Ravi Rai,29,1,A2
386,269,Basavaraj Kumar,49,1,A1
387,270,Anil Shetty,51,1,A1
388,270,Chetan Shetty,48,1,A2
389,271,Riyaz Kumar,46,1,A1
390,272,Darshan Achar,43,1,A1
391,273,Shivaraj Hebbar,48,1,A1
392,273,Anil Rai,40,1,A2
393,273,Riyaz Shetty,20,1,A3
394,274,Faizal Kumar,46,1,A1
395,274,Anil Rai,36,1,A2
396,275,Ravi Rai,29,1,A1
397,275,Vinay Naik,23,1,A2
398,276,Sunil Shastri,44,1,A1
399,276,Nisha Desai,39,2,A2
400,276,Ganesh Reddy,31,1,A3
401,277,Anil Shetty,51,1,A1
402,277,Riyaz Shetty,20,1,A2
403,277,Anil Murthy,42,1,A3
404,278,Chetan Desai,41,1,A1
405,278,Sunil Shastri,44,1,A2
406,279,Ganesh Naik,36,1,A1
407,281,Abdul Desai,23,1,A1
408,281,Riyaz Hebbar,27,1,A2
409,281,Santosh Bhat,30,1,A3
410,283,Faizal Kumar,46,1,A1
411,283,Vinay Bhat,34,1,A2
412,284,Ganesh Nayak,46,1,A1
413,285,Riyaz Shetty,20,1,A1
414,287,Kavya Rai,39,2,A1
415,287,Mahesh Rai,56,1,A2
416,288,Riyaz Kumar,46,1,A1
417,288,Ganesh Reddy,31,1,A2
418,289,Riyaz Hebbar,27,1,A1
419,289,Mahesh Hegde,58,1,A2
420,289,Anil Murthy,42,1,A3
421,291,Abdul Desai,23,1,A1
422,291,Deepak Kumar,56,1,A2
423,292,Ganesh Hegde,37,1,A1
424,292,Mahesh Rai,56,1,A2
425,292,Ganesh Nayak,46,1,A3
426,293,Lakshmi Kumar,26,2,A1
427,293,Ganesh Hegde,37,1,A2
428,294,Meena Gowda,20,2,A1
429,294,Lokesh Reddy,54,1,A2
430,294,Ganesh Naik,36,1,A3
431,295,Basavaraj Reddy,58,1,A1
432,295,Sunil Shetty,36,1,A2
433,295,Anil Murthy,42,1,A3
434,298,Abdul Desai,23,1,A1
435,299,Chetan Shetty,48,1,A1
436,299,Ganesh Reddy,31,1,A2
437,300,Basavaraj Kumar,49,1,A1
438,300,Santosh Rai,24,1,A2
439,301,Ravi Rai,29,1,A1
440,303,Kiran Hegde,54,1,A1
441,306,Divya Kumar,39,2,A1
442,306,Sunil Shastri,44,1,A2
443,309,Basavaraj Reddy,58,1,A1
444,309,Abdul Desai,23,1,A2
445,309,Yashwanth Rao,53,1,A3
446,311,Ramesh Shastri,57,1,A1
447,311,Riyaz Hebbar,27,1,A2
448,313,Lakshmi Kumar,26,2,A1
449,313,Imran Reddy,51,1,A2
450,316,Darshan Hebbar,50,1,A1
451,316,Deepak Kumar,56,1,A2
452,316,Ganesh Reddy,31,1,A3
453,317,Harish Kulkarni,57,1,A1
454,317,Sunil Shastri,44,1,A2
455,318,Harish Shastri,33,1,A1
456,318,Girish Achar,48,1,A2
457,319,Riyaz Shetty,20,1,A1
458,321,Mahesh Hegde,58,1,A1
459,322,Ravi Reddy,55,1,A1
460,323,Santosh Rai,24,1,A1
461,324,Abdul Shetty,58,1,A1
462,324,Roopa Rao,33,2,A2
463,325,Santosh Rai,24,1,A1
464,325,Pooja Nayak,36,2,A2
465,327,Nagaraj Patil,29,1,A1
466,327,Ganesh Nayak,46,1,A2
467,327,Ganesh Reddy,31,1,A3
468,328,Ganesh Naik,36,1,A1
469,328,Abdul Shetty,58,1,A2
470,330,Ganesh Hegde,37,1,A1
471,331,Chetan Shetty,48,1,A1
472,332,Anil Rai,36,1,A1
473,332,Lokesh Reddy,54,1,A2
474,334,Divya Kumar,39,2,A1
475,334,Ramesh Murthy,57,1,A2
476,336,Santosh Bhat,30,1,A1
477,338,Praveen Desai,55,1,A1
478,338,Ganesh Reddy,31,1,A2
479,339,Shruthi Gowda,23,2,A1
480,339,Harish Murthy,19,1,A2
481,340,Santosh Bhat,30,1,A1
482,340,Anil Shetty,51,1,A2
483,340,Faizal Reddy,21,1,A3
484,341,Ramesh Shastri,57,1,A1
485,343,Anil Rai,40,1,A1
486,343,Chetan Shetty,48,1,A2
487,343,Ganesh Nayak,46,1,A3
488,344,Harish Shastri,33,1,A1
489,345,Ramesh Murthy,57,1,A1
490,345,Kavya Rai,39,2,A2
491,345,Lokesh Reddy,54,1,A3
492,346,Nagaraj Patil,29,1,A1
493,347,Ganesh Nayak,46,1,A1
494,347,Kiran Hegde,54,1,A2
495,348,Lokesh Reddy,54,1,A1
496,348,Kiran Hegde,54,1,A2
497,348,Ramesh Murthy,57,1,A3
498,351,Anil Murthy,42,1,A1
499,351,Umesh Shastri,42,1,A2
500,351,Prakash Hebbar,23,1,A3
501,354,Lakshmi Kumar,26,2,A1
502,354,Sunil Shetty,36,1,A2
503,356,Darshan Achar,43,1,A1
504,356,Ganesh Reddy,31,1,A2
505,357,Imran Reddy,51,1,A1
506,357,Prakash Bhat,22,1,A2
507,358,Girish Kulkarni,25,1,A1
508,358,Lakshmi Kumar,26,2,A2
509,358,Anil Rai,40,1,A3
510,359,Girish Achar,48,1,A1
511,359,Shruthi Kumar,44,2,A2
512,359,Faizal Kumar,46,1,A3
513,362,Anil Rai,40,1,A1
514,362,Mahesh Murthy,58,1,A2
515,363,Anil Rai,36,1,A1
516,363,Anil Murthy,42,1,A2
517,364,Praveen Desai,55,1,A1
518,365,Ramesh Murthy,57,1,A1
519,365,Mahesh Murthy,58,1,A2
520,365,Riyaz Kumar,46,1,A3
521,366,Sunil Hegde,38,1,A1
522,366,Mahesh Rai,56,1,A2
523,368,Prakash Hebbar,23,1,A1
524,368,Shruthi Gowda,23,2,A2
525,369,Lakshmi Kumar,26,2,A1
526,370,Meena Shastri,24,2,A1
527,370,Shruthi Kumar,44,2,A2
528,371,Sunil Hegde,38,1,A1
529,371,Riyaz Shetty,20,1,A2
530,372,Kiran Hegde,54,1,A1
531,372,Ganesh Naik,36,1,A2
532,373,Nisha Desai,39,2,A1
533,374,Mahesh Murthy,58,1,A1
534,375,Faizal Reddy,21,1,A1
535,377,Girish Achar,48,1,A1
536,378,Girish Achar,48,1,A1
537,378,Darshan Achar,43,1,A2
538,378,Kavya Rai,39,2,A3
539,379,Faizal Kumar,46,1,A1
540,380,Divya Kumar,58,2,A1
541,380,Mahesh Rai,56,1,A2
542,381,Harish Murthy,19,1,A1
543,381,Anil Murthy,42,1,A2
544,382,Sunil Shetty,36,1,A1
545,383,Anil Rai,40,1,A1
546,383,Faizal Kumar,46,1,A2
547,385,Shruthi Gowda,23,2,A1
548,385,Sunil Hegde,38,1,A2
549,386,Harish Shastri,33,1,A1
550,386,Shruthi Kumar,44,2,A2
551,387,Kiran Hegde,54,1,A1
552,388,Imran Reddy,51,1,A1
553,389,Faizal Kumar,46,1,A1
554,389,Shivaraj Hebbar,48,1,A2
555,389,Mahesh Murthy,58,1,A3
556,391,Mahesh Rai,56,1,A1
557,391,Mahesh Murthy,58,1,A2
558,392,Ganesh Reddy,31,1,A1
559,393,Imran Reddy,51,1,A1
560,393,Chetan Shetty,48,1,A2
561,394,Ganesh Reddy,31,1,A1
562,394,Chetan Shetty,48,1,A2
563,394,Anil Rai,40,1,A3
564,396,Harish Kulkarni,57,1,A1
565,396,Riyaz Shetty,20,1,A2
566,396,Umesh Shastri,42,1,A3
567,400,Kavya Rai,39,2,A1
568,402,Lakshmi Kumar,26,2,A1
569,402,Pooja Nayak,36,2,A2
570,403,Girish Achar,48,1,A1
571,403,Vinay Naik,23,1,A2
572,403,Ganesh Nayak,46,1,A3
573,404,Riyaz Hebbar,27,1,A1
574,405,Roopa Rao,33,2,A1
575,405,Basavaraj Kumar,49,1,A2
576,405,Imran Reddy,51,1,A3
577,406,Basavaraj Reddy,58,1,A1
578,406,Divya Kumar,39,2,A2
579,406,Nagaraj Patil,29,1,A3
580,407,Harish Shastri,33,1,A1
581,407,Girish Kulkarni,25,1,A2
582,408,Kiran Hegde,54,1,A1
583,409,Ganesh Nayak,46,1,A1
584,410,Anil Shetty,51,1,A1
585,410,Mahesh Patil,25,1,A2
586,411,Abdul Desai,23,1,A1
587,414,Lokesh Reddy,54,1,A1
588,414,Yashwanth Rao,53,1,A2
589,417,Chetan Shetty,48,1,A1
590,418,Sunil Hegde,38,1,A1
591,418,Vinay Bhat,34,1,A2
592,419,Ganesh Hegde,37,1,A1
593,421,Anil Shetty,51,1,A1
594,421,Roopa Rao,33,2,A2
595,422,Harish Shastri,33,1,A1
596,422,Kiran Hegde,54,1,A2
597,422,Mahesh Rai,56,1,A3
598,424,Vinay Bhat,34,1,A1
599,425,Darshan Achar,43,1,A1
600,426,Harish Kulkarni,57,1,A1
601,426,Lokesh Reddy,54,1,A2
602,429,Darshan Achar,43,1,A1
603,429,Girish Achar,48,1,A2
604,430,Mahesh Rai,56,1,A1
605,430,Lokesh Reddy,54,1,A2
606,431,Abdul Shetty,58,1,A1
607,431,Abdul Desai,23,1,A2
608,431,Darshan Achar,43,1,A3
609,433,Faizal Kumar,46,1,A1
610,433,Girish Kulkarni,25,1,A2
611,434,Santosh Bhat,30,1,A1
612,435,Harish Shastri,33,1,A1
613,436,Santosh Rai,24,1,A1
614,437,Nisha Desai,39,2,A1
615,437,Meena Shastri,24,2,A2
616,437,Pooja Nayak,36,2,A3
617,438,Lokesh Reddy,54,1,A1
618,438,Abdul Shetty,58,1,A2
619,439,Riyaz Hebbar,27,1,A1
620,440,Mahesh Hegde,58,1,A1
621,441,Anil Shetty,51,1,A1
622,442,Shruthi Kumar,44,2,A1
623,442,Darshan Achar,43,1,A2
624,443,Anil Murthy,42,1,A1
625,443,Santosh Bhat,30,1,A2
626,446,Chetan Desai,41,1,A1
627,447,Anil Rai,40,1,A1
628,447,Ganesh Reddy,31,1,A2
629,447,Ganesh Nayak,46,1,A3
630,449,Chetan Desai,41,1,A1
631,449,Divya Kumar,39,2,A2
632,449,Prakash Hebbar,23,1,A3
633,450,Mahesh Rai,56,1,A1
634,451,Ramesh Patil,40,1,A1
635,451,Chetan Shetty,48,1,A2
636,452,Anil Rai,40,1,A1
637,453,Imran Reddy,51,1,A1
638,453,Riyaz Nayak,39,1,A2
639,454,Meena Gowda,20,2,A1
640,454,Sunil Shetty,36,1,A2
641,455,Harish Kulkarni,57,1,A1
642,457,Divya Kumar,39,2,A1
643,459,Umesh Shastri,42,1,A1
644,460,Kavya Rai,39,2,A1
645,460,Sunil Shastri,44,1,A2
646,460,Riyaz Hebbar,27,1,A3
647,461,Ganesh Hegde,37,1,A1
648,461,Anil Rai,36,1,A2
649,461,Rekha Naik,23,2,A3
650,462,Mahesh Hegde,58,1,A1
651,462,Riyaz Nayak,39,1,A2
652,463,Sunil Shastri,44,1,A1
653,463,Anil Murthy,42,1,A2
654,463,Lokesh Reddy,54,1,A3
655,464,Mahesh Murthy,58,1,A1
656,464,Ramesh Murthy,57,1,A2
657,464,Roopa Rao,33,2,A3
658,465,Ganesh Hegde,37,1,A1
659,465,Darshan Rai,47,1,A2
660,465,Darshan Achar,43,1,A3
661,466,Kiran Hegde,54,1,A1
662,466,Faizal Reddy,21,1,A2
663,467,Girish Achar,48,1,A1
664,467,Mahesh Hegde,58,1,A2
665,468,Shruthi Kumar,44,2,A1
666,470,Basavaraj Kumar,49,1,A1
667,471,Sunil Shastri,44,1,A1
668,471,Mahesh Hegde,58,1,A2
669,471,Kavya Rai,39,2,A3
670,473,Divya Kumar,58,2,A1
671,473,Ganesh Nayak,46,1,A2
672,474,Harish Shastri,33,1,A1
673,476,Ramesh Shastri,57,1,A1
674,479,Deepak Kumar,56,1,A1
675,479,Harish Murthy,19,1,A2
676,480,Ganesh Nayak,46,1,A1
677,481,Divya Kumar,58,2,A1
678,481,Pooja Nayak,36,2,A2
679,481,Ravi Reddy,55,1,A3
680,482,Harish Murthy,19,1,A1
681,483,Shruthi Gowda,23,2,A1
682,483,Sunil Hegde,38,1,A2
683,485,Faizal Kumar,46,1,A1
684,485,Abdul Desai,23,1,A2
685,485,Deepak Kumar,56,1,A3
686,486,Ganesh Nayak,46,1,A1
687,487,Girish Kulkarni,25,1,A1
688,487,Nagaraj Patil,29,1,A2
689,487,Ravi Reddy,55,1,A3
690,490,Ganesh Reddy,31,1,A1
691,490,Santosh Rai,24,1,A2
692,490,Darshan Rai,47,1,A3
693,491,Santosh Bhat,30,1,A1
694,494,Nagaraj Patil,29,1,A1
