ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
121,89,Divya Patil,53,3,1,2,2
122,90,Lakshmi Achar,40,9,2,2,2
123,91,Ganesh Achar,25,5,5,2,1
124,92,Ananya Hebbar,18,4,2,1,2
125,93,Shivaraj Shetty,31,6,6,4,1
126,93,Ganesh Kumar,54,9,3,1,1
127,94,Ganesh Poojary,67,1,6,4,1
128,94,Prakash Reddy,63,4,6,1,1
129,95,Basavaraj Shastri,35,10,6,1,1
130,95,Shruthi Kumar,62,5,3,5,2
131,96,Naveen Desai,63,7,3,5,1
132,97,Meena Hegde,69,7,5,3,2
133,97,Abdul Naik,41,8,2,4,1
134,99,Mahesh Kumar,70,1,3,1,1
135,99,Ananya Murthy,33,4,3,5,2
136,100,Prakash Rao,32,9,3,3,1
137,100,Asha Rai,27,5,3,5,2
138,101,Kavya Achar,52,5,6,4,2
139,101,Shivaraj Shetty,50,6,6,5,1
140,102,Prakash Kulkarni,61,3,1,4,1
141,102,Suresh Nayak,24,9,5,5,1
142,103,Manjunath Kulkarni,63,2,6,5,1
143,103,Naveen Patil,28,8,1,2,1
144,104,Faizal Kulkarni,67,3,6,2,1
145,105,Suresh Poojary,50,5,6,1,1
146,108,Nagaraj Kumar,47,5,2,2,1
147,108,Kiran Desai,28,6,2,5,1
148,109,Nagaraj Gowda,20,4,2,2,1
149,109,Umesh Gowda,34,3,4,3,1
150,110,Ananya Gowda,45,7,2,1,2
151,111,Ananya Reddy,22,9,1,5,2
152,111,Ananya Hegde,35,3,2,4,2
153,112,Geetha Kumar,29,6,2,5,2
154,112,Manjunath Nayak,45,7,1,1,1
155,113,Meena Murthy,47,3,1,3,2
156,113,Girish Gowda,68,10,4,4,1
157,115,Ananya Shastri,23,2,3,5,2
158,115,Vidya Kumar,40,7,1,5,2
159,116,Faizal Rao,52,2,1,2,1
160,116,Naveen Murthy,23,10,5,3,1
161,117,Lakshmi Kulkarni,31,5,3,2,2
162,117,Imran Kulkarni,30,9,5,1,1
163,118,Basavaraj Gowda,42,8,3,3,1
164,119,Abdul Bhat,43,7,3,3,1
165,121,Darshan Bhat,46,9,5,2,1
166,122,Vidya Hebbar,35,3,3,2,2
167,123,Imran Reddy,18,9,5,5,1
168,124,Umesh Gowda,28,7,4,5,1
169,124,Basavaraj Bhat,62,6,1,2,1
170,125,Kumar Rao,61,4,5,3,1
171,125,Lokesh Shastri,53,6,5,4,1
172,126,Harish Rai,39,7,1,4,1
173,127,Roopa Kumar,53,5,3,1,2
174,128,Meena Kumar,54,1,6,3,2
175,129,Roopa Shastri,66,7,6,3,2
176,129,Riyaz Murthy,36,7,2,3,1
177,130,Kumar Kumar,66,9,4,1,1
178,131,Ananya Patil,23,5,4,1,2
179,132,Yashwanth Shastri,53,6,3,1,1
180,133,Vinay Rao,34,9,1,5,1
181,134,Roopa Reddy,20,6,3,3,2
182,135,Santosh Rai,59,8,5,2,1
183,135,Divya Kumar,48,4,3,5,2
184,136,Kiran Nayak,46,4,3,1,1
185,136,Harish Desai,26,8,5,5,1
186,137,Divya Reddy,46,9,6,2,2
187,137,Praveen Reddy,45,1,6,1,1
188,138,Deepak Rao,54,7,5,2,1
189,140,Pooja Kumar,21,4,4,5,2
190,140,Shruthi Hegde,49,7,3,3,2
191,141,Roopa Rai,49,9,2,5,2
192,142,Divya Kumar,61,6,2,2,2
193,142,Asha Bhat,39,7,6,1,2
194,143,Geetha Gowda,23,8,6,1,2
195,143,Harish Kumar,61,3,2,2,1
196,144,Yashwanth Bhat,31,10,1,4,1
197,146,Ramesh Rao,52,2,4,2,1
198,146,Basavaraj Hegde,48,7,6,3,1
199,147,Santosh Reddy,52,3,4,4,1
200,147,Mahesh Kumar,22,7,2,1,1
201,148,Prakash Rai,51,3,3,4,1
202,148,Vinay Bhat,61,3,2,2,1
203,149,Santosh Desai,56,5,2,2,1
204,150,Faizal Naik,40,6,6,2,1
205,151,Naveen Bhat,40,1,1,4,1
206,151,Geetha Naik,58,7,5,1,2
207,152,Bhavya Hegde,28,3,2,4,2
208,153,Santosh Nayak,55,6,2,3,1
209,154,Sowmya Naik,18,10,3,4,2
210,155,Vinay Achar,46,9,5,1,1
211,156,Meena Rao,64,3,1,2,2
212,156,Shruthi Hegde,67,6,2,3,2
213,157,Mahesh Poojary,34,3,1,5,1
214,160,Yashwanth Bhat,32,7,5,5,1
215,161,Kiran Poojary,45,10,1,1,1
216,161,Rekha Naik,48,8,1,1,2
217,162,Geetha Nayak,22,4,6,5,2
218,162,Manjunath Murthy,40,1,1,1,1
219,163,Anil Desai,28,5,1,2,1
220,164,Faizal Desai,21,7,5,4,1
221,165,Chetan Gowda,55,8,2,3,1
222,167,Kiran Hegde,47,6,1,2,1
223,168,Asha Patil,36,3,6,5,2
224,169,Santosh Kumar,49,5,4,1,1
225,169,Meena Hegde,19,1,2,4,2
226,170,Manjunath Achar,56,1,1,1,1
227,170,Abdul Kumar,28,4,4,5,1
228,172,Rekha Naik,67,8,1,5,2
229,173,Vidya Kulkarni,26,10,1,2,2
230,175,Shruthi Desai,35,10,5,5,2
231,175,Kumar Rao,27,8,3,5,1
232,176,Praveen Patil,30,10,6,5,1
233,177,Sunil Hegde,68,4,4,4,1
234,177,Santosh Murthy,69,8,2,4,1
235,178,Basavaraj Shetty,30,5,1,5,1
236,178,Mahesh Patil,35,9,1,2,1
237,181,Rekha Rai,63,7,1,2,2
238,181,Abdul Shetty,55,3,5,3,1
239,182,Girish Patil,23,1,1,3,1
240,182,Roopa Achar,66,5,2,4,2
241,185,Deepak Kulkarni,18,8,1,1,1
242,185,Asha Nayak,68,7,5,4,2
243,186,Umesh Hegde,70,8,4,3,1
244,187,Sunil Kulkarni,35,9,3,1,1
245,188,Girish Naik,46,2,3,2,1
246,189,Santosh Naik,56,10,4,5,1
247,190,Darshan Kumar,23,5,5,2,1
248,191,Rekha Nayak,60,6,5,2,2
249,191,Geetha Achar,64,3,2,1,2
250,192,Yashwanth Rao,43,1,6,5,1
251,193,Nisha Kulkarni,23,10,4,4,2
252,193,Vinay Kulkarni,30,2,3,3,1
253,194,Kiran Rao,58,6,3,2,1
254,195,Manjunath Naik,43,8,1,1,1
255,195,Naveen Kulkarni,22,5,2,2,1
256,196,Vinay Bhat,35,3,6,4,1
257,196,Santosh Poojary,19,2,2,2,1
258,198,Yashwanth Achar,23,5,1,3,1
259,200,Sunil Kumar,61,2,6,2,1
260,201,Basavaraj Nayak,51,1,6,5,1
261,202,Faizal Shastri,68,1,6,4,1
262,202,Umesh Poojary,54,8,2,4,1
263,203,Mahesh Kumar,25,10,4,3,1
264,204,Ananya Naik,37,6,1,1,2
265,204,Naveen Rai,29,6,5,4,1
266,205,Girish Rai,25,2,5,1,1
267,206,Geetha Poojary,54,4,3,1,2
268,207,Deepak Rai,59,4,5,5,1
269,207,Lakshmi Achar,66,10,6,5,2
270,208,Ganesh Kumar,62,8,6,2,1
271,208,Meena Kumar,37,2,3,1,2
272,209,Sowmya Desai,54,5,1,4,2
273,210,Asha Rao,36,5,3,1,2
274,211,Pooja Shastri,61,9,3,4,2
275,212,Abdul Gowda,46,7,3,2,1
276,213,Sowmya Patil,48,8,3,2,2
277,214,Yashwanth Murthy,40,8,5,1,1
278,214,Nisha Poojary,20,10,6,4,2
279,215,Faizal Murthy,32,8,4,2,1
280,217,Prakash Shetty,53,8,5,3,1
281,217,Basavaraj Gowda,20,5,1,3,1
282,218,Geetha Bhat,60,4,2,4,2
283,218,Imran Rai,66,1,1,2,1
284,219,Sowmya Reddy,25,5,1,4,2
285,219,Divya Murthy,23,10,2,4,2
286,220,Darshan Naik,53,2,1,4,1
287,221,Vinay Gowda,65,7,1,4,1
288,221,Suresh Reddy,26,5,4,5,1
289,222,Mahesh Rai,53,2,6,1,1
290,223,Shivaraj Naik,54,4,4,5,1
291,223,Rekha Shetty,55,1,1,1,2
292,224,Asha Rao,65,10,1,1,2
293,225,Girish Shastri,43,6,6,4,1
294,225,Kiran Desai,54,2,2,5,1
295,227,Kavya Hegde,47,3,4,4,2
296,227,Sowmya Gowda,50,9,1,2,2
297,228,Bhavya Shetty,38,6,6,4,2
298,228,Riyaz Achar,37,1,4,3,1
299,229,Umesh Poojary,40,3,6,4,1
300,229,Sowmya Kumar,22,3,1,4,2
301,230,Pooja Patil,27,1,4,2,2
302,230,Kumar Desai,36,3,4,5,1
303,232,Kiran Achar,60,3,6,2,1
304,233,Manjunath Nayak,46,6,5,4,1
305,233,Chetan Achar,28,4,5,3,1
306,234,Ravi Naik,54,1,6,3,1
307,235,Umesh Shetty,70,4,1,4,1
308,236,Abdul Reddy,69,1,5,5,1
309,236,Pooja Hegde,37,10,6,2,2
310,237,Vidya Rao,48,6,1,5,2
311,239,Shivaraj Hebbar,62,8,3,1,1
312,239,Anil Poojary,38,4,1,4,1
313,240,Umesh Kulkarni,22,2,4,1,1
314,240,Nisha Naik,29,7,6,5,2
315,241,Imran Kumar,66,7,4,5,1
316,241,Prakash Rao,30,3,5,3,1
317,242,Basavaraj Achar,28,10,1,1,1
318,242,Meena Poojary,54,1,5,1,2
319,243,Girish Kulkarni,22,8,5,2,1
320,244,Prakash Hegde,47,3,1,5,1
321,245,Ganesh Kulkarni,41,2,1,2,1
322,247,Riyaz Reddy,64,7,2,1,1
323,248,Naveen Nayak,64,1,2,2,1
324,248,Anil Bhat,29,9,5,5,1
325,250,Imran Shetty,44,5,2,5,1
326,250,Suresh Shastri,47,5,1,2,1
327,251,Divya Achar,31,9,2,1,2
328,251,Kumar Bhat,67,7,5,2,1
329,253,Basavaraj Shastri,21,5,6,3,1
330,253,Lokesh Kulkarni,46,4,6,5,1
331,254,Roopa Achar,29,10,4,3,2
332,254,Suresh Reddy,65,5,2,2,1
333,255,Naveen Poojary,44,4,4,2,1
334,255,Anil Naik,68,4,5,2,1
335,256,Roopa Shetty,56,2,3,4,2
336,257,Umesh Shastri,56,9,3,1,1
337,258,Asha Nayak,45,7,2,2,2
338,258,Kavya Patil,54,9,2,2,2
339,259,Divya Murthy,43,1,2,1,2
340,259,Sowmya Poojary,22,3,4,2,2
341,260,Nisha Reddy,41,5,4,3,2
342,261,Ananya Kulkarni,27,3,3,3,2
343,261,Naveen Achar,23,9,4,4,1
344,262,Vidya Gowda,55,7,6,3,2
345,262,Harish Hebbar,42,10,3,5,1
346,263,Vidya Patil,40,6,3,4,2
347,263,Divya Hebbar,54,2,6,5,2
348,264,Imran Shastri,56,1,2,1,1
349,264,Santosh Hegde,66,7,1,1,1
350,265,Yashwanth Hebbar,18,2,1,4,1
351,266,Divya Poojary,31,5,3,1,2
352,267,Anil Rai,58,3,1,1,1
353,268,Meena Kumar,34,1,6,4,2
354,268,Suresh Murthy,57,6,2,3,1
355,269,Lokesh Kulkarni,31,8,2,5,1
356,270,Ananya Bhat,23,1,5,1,2
357,271,Abdul Rao,47,7,3,5,1
358,271,Basavaraj Rao,35,6,6,1,1
359,272,Asha Gowda,62,1,2,3,2
360,273,Kumar Achar,44,1,3,3,1
361,274,Riyaz Patil,32,6,1,3,1
362,275,Kiran Reddy,55,7,3,3,1
363,276,Asha Gowda,31,9,1,4,2
364,277,Bhavya Hebbar,56,8,1,1,2
365,277,Rekha Nayak,32,2,5,4,2
366,278,Basavaraj Desai,19,10,4,2,1
367,278,Yashwanth Patil,65,8,4,5,1
368,281,Meena Rao,32,8,5,1,2
369,282,Rekha Hebbar,58,9,1,4,2
370,282,Divya Kumar,20,7,6,1,2
371,283,Shivaraj Gowda,69,3,5,1,1
372,284,Nisha Rai,44,10,2,2,2
373,284,Sowmya Shetty,57,9,4,4,2
374,285,Ramesh Murthy,42,1,3,5,1
375,286,Vinay Gowda,70,10,3,2,1
376,286,Ramesh Shetty,67,5,1,1,1
377,287,Geetha Shetty,43,2,2,3,2
378,287,Basavaraj Kulkarni,41,10,6,1,1
379,289,Umesh Bhat,34,4,1,1,1
380,289,Sowmya Achar,36,5,2,3,2
381,291,Rekha Rai,31,10,6,4,2
382,292,Ravi Desai,41,1,3,2,1
383,292,Deepak Patil,22,2,6,1,1
384,293,Abdul Rao,66,4,4,1,1
385,294,Darshan Shastri,18,8,4,3,1
386,294,Anil Gowda,51,7,5,2,1
387,295,Shruthi Murthy,52,1,1,2,2
388,295,Lokesh Shastri,33,7,4,4,1
389,296,Nagaraj Murthy,58,9,4,4,1
390,297,Chetan Rao,43,1,1,2,1
391,297,Deepak Gowda,55,10,4,5,1
392,298,Vidya Shastri,59,9,6,1,2
393,299,Kavya Shetty,45,2,3,3,2
394,299,Asha Nayak,48,6,1,3,2
395,300,Basavaraj Rao,50,8,4,5,1
396,300,Ananya Patil,60,3,2,3,2
397,303,Kiran Patil,35,7,5,5,1
398,303,Sowmya Achar,66,7,6,5,2
399,304,Manjunath Rai,42,7,6,4,1
400,304,Ganesh Naik,56,9,1,2,1
401,305,Nagaraj Rao,42,1,1,3,1
402,305,Basavaraj Rao,30,6,5,1,1
403,306,Manjunath Achar,57,5,1,1,1
404,306,Lakshmi Naik,21,7,4,5,2
405,307,Kumar Hegde,65,1,4,3,1
406,308,Prakash Gowda,32,2,1,1,1
407,308,Deepak Rai,68,6,1,3,1
408,309,Roopa Desai,60,8,1,5,2
409,310,Naveen Reddy,22,4,6,1,1
410,311,Darshan Naik,19,3,1,3,1
411,311,Harish Rai,56,4,1,3,1
412,312,Shivaraj Rao,48,2,2,4,1
413,313,Santosh Reddy,54,4,2,5,1
414,314,Nagaraj Shetty,62,2,1,2,1
415,316,Sowmya Patil,35,10,4,2,2
416,316,Riyaz Kumar,64,3,3,2,1
417,317,Prakash Achar,44,6,6,3,1
418,318,Asha Kumar,66,8,2,4,2
419,318,Pooja Kumar,42,4,3,4,2
420,320,Divya Patil,45,7,1,3,2
421,321,Divya Kumar,35,6,4,5,2
422,322,Mahesh Poojary,28,5,5,1,1
423,323,Geetha Bhat,30,5,6,2,2
424,324,Manjunath Bhat,34,4,5,1,1
425,325,Roopa Desai,20,8,2,2,2
426,326,Shruthi Shastri,40,6,1,1,2
427,326,Yashwanth Rao,46,6,3,5,1
428,327,Praveen Nayak,35,10,1,4,1
429,327,Basavaraj Shastri,57,7,1,5,1
430,328,Lokesh Hebbar,27,1,4,3,1
431,329,Prakash Kumar,25,9,3,4,1
432,329,Lokesh Shetty,36,7,1,1,1
433,330,Sowmya Murthy,69,2,3,4,2
434,330,Meena Bhat,64,10,5,5,2
435,331,Shivaraj Hebbar,33,4,1,2,1
436,332,Meena Murthy,62,3,3,4,2
437,333,Sowmya Achar,68,2,2,3,2
438,333,Asha Nayak,24,4,1,5,2
439,334,Divya Kulkarni,37,8,1,2,2
440,334,Suresh Gowda,23,2,2,5,1
441,335,Ramesh Shastri,41,10,4,4,1
442,336,Rekha Gowda,54,5,3,3,2
443,336,Ganesh Nayak,37,6,3,2,1
444,337,Harish Hegde,60,5,1,4,1
445,337,Lokesh Murthy,58,7,2,1,1
446,339,Nagaraj Hebbar,24,2,2,3,1
447,340,Vinay Murthy,52,7,3,1,1
448,341,Bhavya Desai,19,4,2,5,2
449,341,Roopa Rai,43,1,6,2,2
450,342,Riyaz Desai,64,6,3,3,1
451,343,Suresh Achar,34,7,6,4,1
452,344,Abdul Shastri,53,2,4,2,1
453,344,Kiran Bhat,56,1,3,4,1
454,345,Faizal Kumar,53,1,2,2,1
455,345,Nagaraj Desai,66,4,1,1,1
456,346,Shruthi Hebbar,47,9,2,1,2
457,347,Vinay Murthy,60,9,6,4,1
458,348,Deepak Hegde,46,6,4,3,1
459,349,Pooja Kulkarni,53,7,6,4,2
460,350,Ganesh Shetty,31,8,5,3,1
461,351,Kumar Hegde,22,9,4,4,1
462,351,Nisha Murthy,18,7,3,1,2
463,353,Sowmya Reddy,55,10,6,5,2
464,354,Asha Hegde,23,7,6,4,2
465,354,Meena Gowda,35,3,6,3,2
466,355,Praveen Achar,28,9,3,5,1
467,356,Kiran Rao,36,6,4,1,1
468,356,Shruthi Shastri,48,9,5,1,2
469,357,Mahesh Kulkarni,38,4,6,5,1
470,357,Mahesh Rai,51,5,1,2,1
471,358,Kavya Kumar,39,1,4,2,2
472,358,Nagaraj Gowda,22,3,3,4,1
473,359,Pooja Hebbar,45,10,6,1,2
474,360,Manjunath Patil,32,5,1,5,1
475,360,Sunil Murthy,70,3,1,2,1
476,361,Geetha Shastri,48,10,5,2,2
477,362,Nisha Murthy,28,3,4,5,2
478,362,Riyaz Shetty,54,6,3,2,1
479,363,Girish Desai,56,1,3,5,1
480,364,Meena Shetty,62,3,4,3,2
481,364,Vinay Murthy,32,4,6,2,1
482,365,Imran Rao,67,2,1,1,1
483,366,Imran Kumar,46,10,2,1,1
484,367,Darshan Achar,43,4,3,1,1
485,367,Vidya Rai,36,3,3,3,2
486,368,Asha Reddy,42,8,1,3,2
487,369,Abdul Naik,58,6,1,5,1
488,369,Abdul Shastri,65,8,4,2,1
489,370,Nagaraj Shetty,66,6,2,2,1
490,370,Nagaraj Achar,43,10,3,2,1
491,371,Harish Gowda,18,8,4,1,1
492,372,Lakshmi Shastri,32,5,1,2,2
493,373,Shivaraj Rao,56,5,6,5,1
494,374,Girish Kumar,29,3,4,3,1
495,375,Faizal Rao,55,3,6,1,1
496,375,Vinay Rai,23,2,4,3,1
497,376,Ananya Naik,52,2,6,3,2
498,377,Mahesh Patil,30,1,4,2,1
499,378,Roopa Reddy,64,7,2,4,2
500,378,Darshan Gowda,40,5,1,4,1
501,379,Roopa Poojary,68,1,3,4,2
502,379,Mahesh Hegde,63,4,3,4,1
503,380,Pooja Rai,48,7,2,3,2
504,381,Ganesh Hebbar,29,6,4,5,1
505,381,Praveen Nayak,42,7,6,5,1
506,382,Girish Hegde,27,3,5,4,1
507,383,Kiran Kumar,52,8,4,3,1
508,383,Chetan Kulkarni,45,10,1,2,1
509,384,Lakshmi Poojary,22,6,1,1,2
510,385,Bhavya Hegde,25,5,2,1,2
511,386,Meena Gowda,39,2,4,1,2
512,387,Shruthi Bhat,58,6,4,5,2
513,387,Darshan Rao,19,3,1,1,1
514,388,Sunil Nayak,40,10,6,4,1
515,388,Divya Desai,68,8,1,3,2
516,389,Geetha Naik,36,1,1,2,2
517,389,Lokesh Poojary,24,8,2,2,1
518,391,Abdul Shetty,55,2,5,1,1
519,392,Kiran Hegde,60,8,6,5,1
520,392,Naveen Patil,68,10,2,1,1
521,393,Chetan Murthy,40,7,4,1,1
522,393,Kavya Reddy,46,2,1,1,2
523,394,Vinay Naik,28,5,3,1,1
524,394,Girish Reddy,49,2,5,1,1
525,397,Yashwanth Achar,39,10,3,4,1
526,398,Ananya Naik,39,1,3,1,2
527,399,Faizal Naik,68,2,2,4,1
528,399,Vinay Shetty,50,5,4,3,1
529,400,Manjunath Naik,58,5,5,4,1
530,400,Vidya Hebbar,62,9,1,3,2
531,401,Ravi Hegde,60,8,3,1,1
532,402,Shruthi Achar,31,8,5,1,2
533,403,Roopa Hegde,29,8,1,1,2
534,404,Prakash Kulkarni,68,4,3,4,1
535,405,Kavya Shetty,58,3,4,2,2
536,405,Asha Achar,35,8,4,1,2
537,406,Suresh Reddy,36,8,6,3,1
538,407,Ravi Kulkarni,30,9,5,3,1
539,407,Nisha Nayak,62,3,2,1,2
540,408,Ganesh Bhat,56,7,5,2,1
541,408,Ganesh Patil,31,5,4,4,1
542,409,Kavya Murthy,64,5,5,3,2
543,410,Vinay Kulkarni,23,5,2,5,1
544,411,Asha Nayak,55,3,3,1,2
545,413,Shruthi Bhat,58,4,4,2,2
546,414,Girish Achar,56,2,2,4,1
547,415,Abdul Naik,26,5,1,4,1
548,416,Nisha Rao,51,6,2,3,2
549,417,Shruthi Rao,20,5,1,2,2
550,417,Asha Naik,56,10,1,2,2
551,418,Abdul Kulkarni,63,7,6,3,1
552,418,Harish Shetty,44,5,1,5,1
553,419,Suresh Shetty,28,5,4,1,1
554,420,Basavaraj Kulkarni,52,1,2,4,1
555,420,Santosh Achar,56,2,1,4,1
556,421,Ramesh Rai,38,3,1,5,1
557,422,Roopa Hegde,62,3,2,1,2
558,423,Suresh Desai,28,2,3,5,1
559,423,Ramesh Patil,52,2,6,4,1
560,424,Roopa Murthy,58,10,4,3,2
561,424,Rekha Rai,56,2,1,4,2
562,425,Lakshmi Nayak,22,2,5,1,2
563,425,Nisha Rao,56,4,2,1,2
564,426,Ravi Shetty,45,4,5,2,1
565,427,Kavya Shastri,37,1,2,3,2
566,427,Roopa Murthy,51,2,2,1,2
567,428,Lakshmi Gowda,31,1,5,5,2
568,429,Bhavya Reddy,61,1,2,2,2
569,430,Rekha Shastri,57,5,3,1,2
570,431,Faizal Shetty,27,1,6,5,1
571,432,Imran Murthy,60,3,1,4,1
572,435,Ananya Shetty,48,10,2,3,2
573,436,Lakshmi Hebbar,37,7,2,4,2
574,436,Ganesh Murthy,47,4,1,1,1
575,437,Geetha Murthy,27,8,6,5,2
576,437,Sowmya Rai,18,5,4,5,2
577,438,Sowmya Rao,61,1,5,1,2
578,439,Harish Poojary,42,4,1,3,1
579,439,Manjunath Naik,57,5,5,5,1
580,440,Ananya Nayak,25,3,2,4,2
581,440,Kiran Shetty,65,4,2,1,1
582,441,Suresh Shetty,43,10,4,3,1
583,442,Bhavya Kumar,19,3,1,5,2
584,442,Geetha Rai,33,7,3,1,2
585,443,Ravi Hegde,20,1,4,2,1
586,444,Vidya Desai,35,2,4,2,2
587,444,Manjunath Kulkarni,60,10,5,5,1
588,445,Santosh Patil,56,1,6,3,1
589,446,Kiran Shastri,18,2,5,5,1
590,447,Mahesh Rao,53,4,6,2,1
591,448,Ramesh Kumar,26,2,3,2,1
592,448,Faizal Hegde,40,1,5,3,1
593,449,Nisha Kulkarni,30,1,1,2,2
594,449,Divya Nayak,56,2,4,3,2
595,450,Meena Murthy,68,3,5,5,2
596,451,Lokesh Rao,36,6,4,4,1
597,451,Ananya Nayak,28,1,2,4,2
598,454,Sunil Rao,70,1,5,2,1
599,455,Prakash Hebbar,62,4,5,4,1
600,456,Naveen Nayak,36,1,3,4,1
601,456,Santosh Rai,30,1,5,5,1
602,457,Ganesh Desai,54,3,5,3,1
603,457,Meena Murthy,37,4,6,1,2
