VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
250,217,Mahesh Shetty,26,1,0
251,218,Ravi Kulkarni,36,1,0
252,218,Pooja Rao,68,2,0
253,220,Riyaz Bhat,43,1,0
254,221,Sunil Shetty,60,1,0
255,222,Umesh Murthy,36,1,0
256,223,Darshan Shastri,40,1,0
257,225,Prakash Patil,33,1,0
258,225,Meena Nayak,31,2,0
259,226,Ganesh Poojary,40,1,0
260,226,Shruthi Poojary,36,2,0
261,227,Meena Hegde,31,2,0
262,227,Faizal Poojary,36,1,0
263,233,Mahesh Kumar,69,1,0
264,233,Manjunath Naik,62,1,0
265,234,Asha Gowda,52,2,1
266,236,Lakshmi Reddy,54,2,0
267,237,Girish Rao,27,1,0
268,237,Nisha Rai,22,2,0
269,239,Vidya Shastri,70,2,0
270,239,Roopa Nayak,41,2,0
271,242,Shivaraj Shetty,48,1,0
272,243,Roopa Desai,45,2,0
273,243,Ganesh Naik,21,1,0
274,244,Imran Hebbar,67,1,0
275,245,Girish Murthy,45,1,0
276,246,Kavya Kulkarni,42,2,0
277,247,Deepak Rao,62,1,0
278,248,Shivaraj Gowda,36,1,0
279,248,Lokesh Desai,57,1,0
280,249,Rekha Shetty,61,2,0
281,249,Sowmya Rai,56,2,0
282,251,Mahesh Poojary,28,1,0
283,251,Santosh Gowda,24,1,0
284,252,Nisha Shastri,27,2,0
285,252,Riyaz Patil,63,1,0
286,253,Sowmya Naik,60,2,0
287,253,Harish Patil,23,1,0
288,254,Asha Hebbar,68,2,0
289,255,Santosh Rai,33,1,0
290,256,Geetha Gowda,19,2,0
291,257,Abdul Kulkarni,52,1,0
292,258,Deepak Desai,59,1,0
293,259,Shruthi Achar,68,2,0
294,260,Ramesh Patil,57,1,0
295,260,Divya Rai,18,2,0
296,261,Shruthi Rao,50,2,1
297,263,Pooja Kumar,70,2,0
298,264,Yashwanth Naik,49,1,0
299,265,Lakshmi Hegde,33,2,0
300,265,Kiran Bhat,51,1,0
301,266,Geetha Poojary,32,2,0
302,268,Santosh Reddy,30,1,0
303,269,Roopa Reddy,41,2,0
304,270,Ravi Rai,28,1,0
305,271,Sowmya Kumar,39,2,0
306,272,Shruthi Gowda,30,2,0
307,273,Lokesh Patil,59,1,0
308,274,Bhavya Patil,18,2,0
309,275,Rekha Desai,61,2,0
310,275,Vidya Desai,39,2,0
311,277,Suresh Reddy,37,1,0
312,278,Kavya Patil,42,2,0
313,280,Ramesh Patil,63,1,0
314,281,Meena Naik,44,2,0
315,281,Bhavya Reddy,39,2,0
316,282,Asha Shastri,61,2,0
317,282,Prakash Naik,44,1,0
318,283,Asha Murthy,21,2,0
319,283,Umesh Hebbar,47,1,0
320,284,Divya Naik,26,2,1
321,285,Kavya Shastri,63,2,0
322,285,Roopa Hegde,49,2,1
323,286,Riyaz Shetty,39,1,1
324,287,Chetan Desai,56,1,0
325,287,Pooja Reddy,65,2,0
326,288,Naveen Murthy,60,1,0
327,288,Rekha Murthy,56,2,0
328,289,Ananya Reddy,23,2,0
329,289,Kumar Kumar,39,1,0
330,291,Meena Kulkarni,37,2,0
331,291,Shruthi Hebbar,26,2,0
332,292,Rekha Shetty,26,2,0
333,294,Divya Murthy,26,2,0
334,295,Kavya Naik,47,2,0
335,297,Rekha Reddy,18,2,0
336,297,Suresh Shastri,66,1,0
337,298,Ramesh Rai,66,1,0
338,298,Meena Naik,64,2,0
339,299,Vidya Kumar,26,2,1
340,300,Kavya Naik,55,2,0
341,301,Rekha Shastri,48,2,0
342,302,Nagaraj Achar,23,1,0
343,303,Manjunath Kulkarni,63,1,0
344,304,Geetha Kumar,23,2,0
345,305,Suresh Shetty,33,1,0
346,305,Rekha Naik,52,2,0
347,306,Kiran Reddy,53,1,0
348,307,Mahesh Kulkarni,54,1,0
349,310,Vidya Bhat,33,2,0
350,310,Ganesh Kulkarni,35,1,0
351,311,Bhavya Hegde,23,2,0
352,311,Chetan Kumar,64,1,0
353,312,Geetha Desai,49,2,0
354,314,Shruthi Patil,20,2,0
355,315,Harish Shastri,56,1,0
356,316,Imran Shastri,55,1,0
357,317,Rekha Poojary,70,2,0
358,317,Anil Achar,33,1,0
359,318,Vidya Rao,21,2,0
360,318,Shruthi Reddy,26,2,0
361,319,Bhavya Bhat,54,2,0
362,320,Umesh Naik,51,1,0
363,320,Abdul Kulkarni,66,1,0
364,321,Pooja Shetty,35,2,0
365,322,Anil Reddy,65,1,0
366,323,Shruthi Desai,20,2,0
367,323,Naveen Shastri,29,1,0
368,326,Girish Reddy,35,1,0
369,327,Meena Kumar,39,2,0
370,329,Bhavya Reddy,28,2,0
371,330,Shruthi Reddy,49,2,0
372,330,Lokesh Gowda,38,1,0
373,331,Kiran Hegde,34,1,0
374,332,Meena Kulkarni,64,2,0
375,333,Nisha Rai,58,2,0
376,333,Prakash Achar,23,1,0
377,334,Asha Kumar,53,2,0
378,336,Abdul Poojary,49,1,0
379,338,Ganesh Rao,51,1,0
380,339,Roopa Gowda,62,2,0
381,339,Sowmya Kulkarni,19,2,0
382,340,Pooja Shastri,47,2,0
383,341,Kavya Shetty,45,2,0
384,343,Roopa Hebbar,68,2,0
385,344,Shivaraj Shastri,46,1,0
386,345,Deepak Bhat,26,1,0
387,345,Lakshmi Bhat,43,2,0
388,347,Prakash Achar,68,1,0
389,347,Manjunath Murthy,41,1,1
390,348,Suresh Hebbar,31,1,0
391,348,Nagaraj Naik,52,1,0
392,351,Manjunath Shetty,41,1,0
393,352,Faizal Rai,23,1,0
394,352,Mahesh Naik,57,1,0
395,353,Geetha Kulkarni,21,2,0
396,354,Shivaraj Reddy,61,1,0
397,355,Prakash Shastri,29,1,1
398,356,Manjunath Nayak,60,1,0
399,357,Harish Patil,41,1,0
400,357,Geetha Naik,63,2,0
401,358,Bhavya Hegde,69,2,0
402,358,Ganesh Naik,67,1,0
403,360,Girish Hebbar,57,1,0
404,361,Basavaraj Patil,18,1,0
405,361,Vinay Hebbar,65,1,0
406,362,Pooja Naik,18,2,0
407,362,Lakshmi Hebbar,40,2,0
408,364,Rekha Gowda,40,2,0
409,364,Meena Kumar,67,2,0
410,365,Suresh Reddy,37,1,0
411,365,Ramesh Kulkarni,64,1,0
412,366,Meena Gowda,26,2,0
413,367,Bhavya Achar,50,2,0
414,367,Vidya Kumar,21,2,0
415,368,Kiran Desai,69,1,0
416,368,Nagaraj Hebbar,44,1,0
417,369,Kumar Kumar,37,1,0
418,370,Asha Desai,30,2,0
419,370,Geetha Nayak,68,2,0
420,371,Basavaraj Reddy,36,1,0
421,372,Roopa Achar,70,2,0
422,374,Asha Desai,23,2,0
423,376,Rekha Patil,44,2,0
424,376,Praveen Reddy,56,1,0
425,377,Anil Shetty,50,1,0
426,378,Shruthi Murthy,32,2,0
427,380,Nisha Desai,28,2,0
428,380,Deepak Patil,44,1,0
429,381,Vidya Naik,37,2,0
430,382,Ananya Hegde,62,2,0
431,382,Divya Kulkarni,18,2,0
432,383,Naveen Poojary,55,1,0
433,383,Praveen Hegde,35,1,0
434,386,Ramesh Kulkarni,44,1,0
435,386,Mahesh Achar,50,1,0
436,387,Divya Achar,60,2,0
437,387,Bhavya Naik,21,2,0
438,388,Vinay Desai,36,1,0
439,388,Riyaz Naik,55,1,0
440,389,Nisha Hegde,63,2,0
441,390,Shivaraj Murthy,39,1,0
442,391,Ramesh Naik,48,1,0
443,392,Roopa Achar,30,2,0
444,392,Roopa Patil,50,2,0
445,393,Vinay Hegde,21,1,0
446,393,Santosh Hebbar,29,1,0
447,394,Kavya Kumar,64,2,0
448,394,Vinay Reddy,39,1,0
449,395,Bhavya Hegde,39,2,0
450,395,Darshan Poojary,57,1,0
451,396,Lakshmi Nayak,19,2,0
452,396,Yashwanth Murthy,20,1,0
453,397,Sowmya Gowda,44,2,0
454,397,Sunil Hebbar,45,1,0
455,399,Nisha Gowda,28,2,0
456,400,Sunil Nayak,61,1,0
457,400,Pooja Desai,40,2,0
458,401,Kumar Gowda,61,1,0
459,402,Shruthi Reddy,21,2,0
460,402,Nisha Achar,56,2,0
461,403,Praveen Patil,33,1,0
462,404,Suresh Shetty,55,1,0
463,405,Divya Reddy,62,2,0
464,405,Shruthi Gowda,65,2,0
465,406,Vinay Desai,25,1,0
466,406,Lokesh Reddy,68,1,0
467,407,Imran Rai,31,1,0
468,407,Deepak Kulkarni,26,1,0
469,409,Basavaraj Rao,46,1,0
470,410,Manjunath Desai,34,1,0
471,410,Roopa Rai,51,2,0
472,411,Girish Hebbar,38,1,0
473,412,Geetha Hegde,31,2,0
474,412,Umesh Gowda,20,1,0
475,413,Riyaz Bhat,22,1,0
476,418,Harish Achar,64,1,0
477,419,Anil Gowda,24,1,0
478,420,Mahesh Reddy,51,1,0
479,420,Mahesh Desai,60,1,0
480,421,Prakash Gowda,30,1,0
481,422,Vidya Bhat,20,2,0
482,423,Abdul Hebbar,49,1,0
483,423,Manjunath Desai,69,1,0
484,424,Bhavya Rai,49,2,1
485,425,Basavaraj Desai,68,1,0
486,426,Umesh Kulkarni,55,1,0
487,429,Ramesh Gowda,58,1,0
488,431,Yashwanth Kulkarni,52,1,0
489,432,Rekha Rao,46,2,0
490,434,Nisha Patil,26,2,0
491,435,Faizal Desai,54,1,0
492,436,Nisha Reddy,28,2,0
493,436,Mahesh Kulkarni,32,1,0
494,437,Darshan Naik,68,1,0
495,438,Naveen Kulkarni,58,1,0
496,440,Ananya Patil,44,2,0
497,440,Meena Shastri,67,2,0
498,441,Pooja Poojary,21,2,0
499,442,Asha Rao,46,2,0
500,444,Riyaz Nayak,66,1,0
501,445,Geetha Shetty,53,2,0
502,446,Harish Patil,50,1,0
503,447,Asha Kumar,21,2,0
504,447,Asha Shetty,62,2,0
505,448,Suresh Achar,49,1,0
506,449,Manjunath Murthy,35,1,0
507,450,Shivaraj Naik,24,1,0
508,451,Kumar Murthy,24,1,0
509,451,Suresh Hegde,61,1,0
510,452,Meena Shetty,57,2,0
511,453,Harish Reddy,27,1,1
512,454,Kumar Kumar,31,1,0
513,454,Bhavya Shetty,33,2,0
514,456,Vidya Shastri,24,2,0
515,457,Darshan Nayak,56,1,0
516,458,Sowmya Desai,24,2,0
517,459,Santosh Patil,18,1,0
518,459,Divya Bhat,64,2,0
519,460,Abdul Rai,47,1,0
520,460,Umesh Kulkarni,18,1,0
521,461,Faizal Hegde,55,1,1
522,462,Bhavya Gowda,54,2,0
523,463,Nisha Bhat,52,2,0
524,464,Girish Shastri,22,1,0
525,464,Manjunath Achar,56,1,0
526,466,Shruthi Kumar,41,2,0
527,466,Lokesh Nayak,27,1,0
528,468,Asha Reddy,25,2,0
529,469,Girish Naik,61,1,0
530,470,Ananya Murthy,31,2,0
531,470,Manjunath Shetty,20,1,0
532,471,Suresh Kulkarni,21,1,0
533,472,Ravi Kumar,53,1,0
534,473,Kiran Rai,30,1,0
535,473,Asha Murthy,64,2,0
536,474,Darshan Achar,68,1,0
537,474,Vidya Hegde,32,2,0
538,475,Imran Shetty,69,1,0
539,476,Manjunath Desai,26,1,0
540,476,Rekha Murthy,57,2,0
541,478,Yashwanth Reddy,21,1,0
542,478,Manjunath Kulkarni,60,1,0
543,479,Mahesh Patil,31,1,0
544,480,Roopa Rao,41,2,0
545,481,Divya Shastri,43,2,0
546,481,Lokesh Naik,48,1,0
547,482,Shivaraj Desai,38,1,0
548,484,Manjunath Gowda,32,1,0
549,485,Ananya Shetty,61,2,0
550,485,Shruthi Kulkarni,35,2,0
551,488,Lakshmi Kumar,56,2,0
552,489,Suresh Shastri,30,1,0
553,490,Darshan Naik,29,1,0
554,490,Faizal Reddy,45,1,0
555,491,Kiran Kulkarni,49,1,0
556,493,Ananya Achar,67,2,0
557,495,Lokesh Desai,27,1,0
558,496,Nisha Hebbar,26,2,0
559,497,Sowmya Rao,22,2,0
560,497,Prakash Hegde,68,1,0
561,498,Nisha Achar,55,2,1
562,499,Basavaraj Kumar,47,1,1
563,499,Kavya Reddy,66,2,0
564,500,Kavya Shastri,20,2,0
