id,criminal_id,fir_id,arrested_at,arresting_officer,district,arrest_type
109,32,275,2025-10-31 00:00:00,Kavya Murthy,Udupi,arrest
110,33,151,2026-02-09 00:00:00,Shivaraj Nayak,Mandya,arrest
111,33,391,2026-07-15 00:00:00,Harish Hegde,Mandya,arrest
112,33,464,2026-06-04 00:00:00,Kiran Bhat,Vijayapura,arrest
113,34,74,2026-07-04 00:00:00,Rekha Rao,Dakshina Kannada,arrest
114,34,80,2025-07-28 00:00:00,Darshan Shastri,Bengaluru Urban,arrest
115,34,115,2026-07-02 00:00:00,Kumar Gowda,Bengaluru Urban,arrest
116,35,13,2026-05-03 00:00:00,Pooja Patil,Kalaburagi,arrest
117,35,133,2025-08-19 00:00:00,Pooja Patil,Kalaburagi,arrest
118,35,159,2026-06-15 00:00:00,Darshan Shetty,Hubballi-Dharwad,arrest
119,35,162,2026-05-15 00:00:00,Darshan Shetty,Hubballi-Dharwad,arrest
120,35,270,2026-05-24 00:00:00,Riyaz Bhat,Shivamogga,arrest
121,35,331,2026-05-09 00:00:00,Kiran Desai,Ballari,arrest
122,35,343,2025-08-09 00:00:00,Anil Kulkarni,Kalaburagi,arrest
123,35,393,2025-07-15 00:00:00,Divya Gowda,Shivamogga,arrest
124,36,53,2026-04-29 00:00:00,Kiran Bhat,Vijayapura,arrest
125,37,239,2026-04-27 00:00:00,Abdul Patil,Mysuru,surrender
126,37,324,2026-04-09 00:00:00,Suresh Kumar,Vijayapura,arrest
127,37,438,2026-06-06 00:00:00,Riyaz Reddy,Mysuru,arrest
128,38,4,2025-05-16 00:00:00,Riyaz Bhat,Shivamogga,surrender
129,38,156,2026-06-09 00:00:00,Abdul Bhat,Shivamogga,arrest
130,38,206,2025-10-09 00:00:00,Suresh Murthy,Mysuru,arrest
131,38,441,2026-07-12 00:00:00,Umesh Naik,Mysuru,arrest
132,39,251,2025-09-01 00:00:00,Manjunath Shetty,Dakshina Kannada,arrest
133,39,381,2026-03-18 00:00:00,Rekha Rao,Dakshina Kannada,arrest
134,39,482,2026-05-13 00:00:00,Santosh Patil,Dakshina Kannada,arrest
135,40,49,2026-06-26 00:00:00,Naveen Hebbar,Hubballi-Dharwad,arrest
136,40,64,2026-07-10 00:00:00,Darshan Naik,Udupi,arrest
137,40,97,2026-02-04 00:00:00,Naveen Hebbar,Hubballi-Dharwad,arrest
138,40,175,2026-05-13 00:00:00,Santosh Patil,Dakshina Kannada,arrest
139,41,162,2026-05-01 00:00:00,Darshan Shetty,Hubballi-Dharwad,arrest
140,41,207,2026-07-05 00:00:00,Ganesh Kumar,Hubballi-Dharwad,arrest
141,41,389,2026-06-23 00:00:00,Imran Kulkarni,Vijayapura,arrest
142,43,32,2026-04-06 00:00:00,Anil Rao,Belagavi,arrest
143,43,79,2025-07-22 00:00:00,Ramesh Bhat,Belagavi,arrest
144,43,223,2025-10-04 00:00:00,Anil Kulkarni,Kalaburagi,arrest
145,43,386,2026-02-17 00:00:00,Manjunath Shetty,Dakshina Kannada,surrender
146,43,422,2025-06-05 00:00:00,Basavaraj Kulkarni,Mandya,surrender
147,43,474,2026-07-15 00:00:00,Anil Rao,Belagavi,arrest
148,44,61,2026-05-25 00:00:00,Kiran Bhat,Vijayapura,surrender
149,44,149,2026-02-13 00:00:00,Manjunath Naik,Tumakuru,arrest
150,44,203,2026-05-05 00:00:00,Kiran Desai,Ballari,arrest
151,44,256,2025-06-15 00:00:00,Lakshmi Poojary,Mandya,surrender
152,44,323,2025-09-24 00:00:00,Mahesh Bhat,Mandya,arrest
153,44,436,2025-03-16 00:00:00,Ramesh Kumar,Ballari,arrest
154,45,115,2026-06-25 00:00:00,Nagaraj Murthy,Bengaluru Urban,arrest
155,45,293,2026-01-20 00:00:00,Kumar Gowda,Bengaluru Urban,arrest
156,45,369,2026-03-03 00:00:00,Abdul Patil,Mysuru,surrender
157,47,100,2026-02-20 00:00:00,Abdul Shastri,Tumakuru,arrest
158,47,199,2025-04-15 00:00:00,Abdul Shastri,Tumakuru,arrest
159,47,220,2026-02-13 00:00:00,Abdul Shastri,Tumakuru,arrest
160,47,414,2026-03-12 00:00:00,Suresh Murthy,Tumakuru,surrender
161,48,148,2026-06-25 00:00:00,Ravi Hegde,Bengaluru Urban,arrest
162,48,166,2026-05-08 00:00:00,Kumar Gowda,Bengaluru Urban,arrest
163,48,467,2026-02-06 00:00:00,Naveen Hebbar,Hubballi-Dharwad,arrest
164,49,281,2026-01-31 00:00:00,Manjunath Naik,Tumakuru,arrest
165,49,336,2026-07-06 00:00:00,Ramesh Murthy,Tumakuru,arrest
166,50,33,2026-02-11 00:00:00,Divya Gowda,Shivamogga,arrest
167,50,154,2025-02-07 00:00:00,Abdul Bhat,Shivamogga,surrender
168,50,405,2026-07-10 00:00:00,Riyaz Bhat,Shivamogga,arrest
169,50,421,2025-04-30 00:00:00,Anil Naik,Shivamogga,arrest
170,50,464,2026-06-08 00:00:00,Kiran Bhat,Vijayapura,arrest
171,51,124,2026-04-21 00:00:00,Abdul Bhat,Shivamogga,arrest
172,51,154,2025-01-29 00:00:00,Anil Naik,Shivamogga,arrest
173,51,209,2026-07-01 00:00:00,Ravi Hegde,Bengaluru Urban,surrender
174,51,451,2025-05-01 00:00:00,Riyaz Bhat,Shivamogga,arrest
175,51,495,2025-05-18 00:00:00,Basavaraj Kulkarni,Mandya,arrest
176,52,209,2026-07-08 00:00:00,Ravi Hegde,Bengaluru Urban,arrest
177,52,380,2025-08-12 00:00:00,Kumar Gowda,Bengaluru Urban,arrest
178,52,473,2026-06-26 00:00:00,Kumar Gowda,Bengaluru Urban,arrest
179,52,481,2026-06-23 00:00:00,Nagaraj Murthy,Bengaluru Urban,arrest
180,53,188,2025-06-14 00:00:00,Praveen Reddy,Hubballi-Dharwad,arrest
181,53,202,2025-12-04 00:00:00,Manjunath Naik,Tumakuru,arrest
182,53,266,2025-04-24 00:00:00,Abdul Patil,Mysuru,arrest
183,53,345,2025-08-07 00:00:00,Ramesh Murthy,Tumakuru,arrest
184,53,414,2026-02-15 00:00:00,Chetan Achar,Tumakuru,arrest
185,53,426,2025-08-26 00:00:00,Girish Reddy,Belagavi,arrest
186,53,438,2026-07-06 00:00:00,Prakash Kumar,Mysuru,arrest
187,54,255,2025-09-10 00:00:00,Sunil Gowda,Belagavi,arrest
188,55,378,2025-07-17 00:00:00,Harish Hegde,Mandya,arrest
189,55,425,2025-06-29 00:00:00,Lakshmi Poojary,Mandya,surrender
190,55,465,2026-07-07 00:00:00,Ganesh Rai,Mandya,arrest
191,56,67,2025-04-25 00:00:00,Darshan Kulkarni,Udupi,arrest
192,56,126,2026-07-07 00:00:00,Kavya Shetty,Vijayapura,arrest
193,56,193,2026-05-13 00:00:00,Praveen Murthy,Dakshina Kannada,arrest
194,56,254,2026-05-03 00:00:00,Darshan Naik,Udupi,arrest
195,56,370,2026-06-05 00:00:00,Abdul Naik,Udupi,arrest
196,56,386,2026-02-28 00:00:00,Praveen Murthy,Dakshina Kannada,arrest
197,56,442,2026-07-03 00:00:00,Kavya Murthy,Udupi,arrest
198,57,83,2026-01-31 00:00:00,Abdul Naik,Udupi,arrest
199,58,220,2026-02-13 00:00:00,Manjunath Naik,Tumakuru,arrest
200,58,256,2025-05-24 00:00:00,Lakshmi Poojary,Mandya,arrest
201,58,291,2026-02-26 00:00:00,Darshan Naik,Udupi,arrest
202,58,309,2026-06-09 00:00:00,Chetan Achar,Tumakuru,arrest
203,58,431,2026-06-20 00:00:00,Imran Shetty,Udupi,arrest
204,59,453,2026-07-15 00:00:00,Kumar Gowda,Bengaluru Urban,arrest
205,60,226,2026-07-02 00:00:00,Deepak Naik,Ballari,arrest
206,60,351,2026-05-22 00:00:00,Naveen Kulkarni,Hubballi-Dharwad,arrest
207,61,138,2026-06-19 00:00:00,Rekha Rao,Dakshina Kannada,arrest
208,62,1,2026-03-08 00:00:00,Chetan Achar,Tumakuru,arrest
209,62,244,2026-05-31 00:00:00,Ramesh Murthy,Tumakuru,arrest
210,63,30,2025-06-20 00:00:00,Girish Reddy,Belagavi,arrest
211,63,212,2026-07-15 00:00:00,Sunil Gowda,Belagavi,arrest
212,63,245,2025-06-07 00:00:00,Deepak Hebbar,Bengaluru Urban,arrest
213,63,322,2026-03-08 00:00:00,Rekha Rao,Dakshina Kannada,arrest
214,63,487,2025-08-26 00:00:00,Lokesh Naik,Belagavi,arrest
215,64,6,2026-06-10 00:00:00,Umesh Naik,Mysuru,surrender
216,64,44,2026-03-28 00:00:00,Praveen Reddy,Hubballi-Dharwad,arrest
217,64,142,2026-06-16 00:00:00,Darshan Shetty,Hubballi-Dharwad,surrender
218,64,169,2025-08-22 00:00:00,Prakash Kumar,Mysuru,arrest
219,64,194,2026-05-29 00:00:00,Naveen Kulkarni,Hubballi-Dharwad,arrest
220,64,306,2025-07-25 00:00:00,Praveen Reddy,Hubballi-Dharwad,arrest
221,64,317,2026-02-16 00:00:00,Abdul Patil,Mysuru,arrest
222,64,496,2026-03-02 00:00:00,Abdul Naik,Udupi,arrest
223,65,1,2026-03-27 00:00:00,Suresh Murthy,Tumakuru,arrest
224,65,109,2025-07-26 00:00:00,Lokesh Naik,Belagavi,arrest
225,65,155,2026-01-30 00:00:00,Prakash Bhat,Kalaburagi,arrest
226,65,168,2025-11-22 00:00:00,Prakash Kumar,Mysuru,arrest
227,65,187,2025-07-07 00:00:00,Prakash Hebbar,Kalaburagi,arrest
228,65,195,2025-08-11 00:00:00,Deepak Kumar,Kalaburagi,arrest
229,65,327,2026-07-10 00:00:00,Anil Kulkarni,Kalaburagi,surrender
230,65,487,2025-07-21 00:00:00,Sunil Gowda,Belagavi,arrest
231,66,48,2026-05-22 00:00:00,Chetan Murthy,Kalaburagi,arrest
232,66,101,2026-01-07 00:00:00,Darshan Shastri,Bengaluru Urban,arrest
233,66,172,2025-12-15 00:00:00,Darshan Naik,Udupi,arrest
234,66,209,2026-07-03 00:00:00,Deepak Hebbar,Bengaluru Urban,arrest
235,66,247,2026-04-04 00:00:00,Deepak Kumar,Kalaburagi,arrest
236,66,292,2026-05-28 00:00:00,Nagaraj Murthy,Bengaluru Urban,arrest
237,66,347,2025-04-20 00:00:00,Kavya Murthy,Udupi,arrest
238,66,447,2025-12-30 00:00:00,Pooja Patil,Kalaburagi,arrest
239,66,473,2026-07-14 00:00:00,Kumar Gowda,Bengaluru Urban,arrest
240,66,486,2026-07-08 00:00:00,Chetan Murthy,Kalaburagi,surrender
241,67,255,2025-08-26 00:00:00,Anil Rao,Belagavi,arrest
242,68,40,2025-10-13 00:00:00,Imran Kulkarni,Vijayapura,arrest
243,69,126,2026-06-04 00:00:00,Imran Kulkarni,Vijayapura,arrest
244,69,205,2026-05-10 00:00:00,Ganesh Kumar,Belagavi,arrest
245,69,242,2026-03-10 00:00:00,Mahesh Desai,Vijayapura,arrest
246,69,311,2025-06-27 00:00:00,Naveen Hebbar,Hubballi-Dharwad,arrest
247,69,476,2026-07-15 00:00:00,Ramesh Kumar,Ballari,surrender
248,70,234,2026-04-29 00:00:00,Kiran Bhat,Vijayapura,arrest
249,70,334,2026-05-06 00:00:00,Ramesh Murthy,Tumakuru,arrest
250,70,365,2025-07-09 00:00:00,Suresh Kumar,Vijayapura,arrest
251,70,464,2026-05-15 00:00:00,Kiran Bhat,Vijayapura,arrest
