EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
45,408,15,8,4,KGID210276,Imran Kulkarni,1980-09-12,1,4,0,2011-04-28
46,408,16,5,1,KGID210283,Mahesh Desai,1985-02-01,1,5,0,2007-05-17
47,408,16,6,2,KGID210288,Mahesh Shetty,1991-02-01,1,2,0,2018-01-27
48,408,16,8,4,KGID210296,Suresh Kumar,1983-02-15,1,5,0,2020-08-24
49,409,17,5,1,KGID210300,Abdul Bhat,1980-09-18,1,8,0,2006-08-21
50,409,17,6,2,KGID210305,Divya Gowda,1980-09-29,2,6,0,2007-01-11
51,409,17,8,4,KGID210311,Anil Naik,1999-08-21,1,4,0,2004-02-07
52,409,18,5,1,KGID210316,Ravi Shastri,1997-01-17,1,2,0,2015-04-15
53,409,18,6,2,KGID210325,Riyaz Bhat,1977-10-12,1,3,0,2019-05-26
54,409,18,8,4,KGID210332,Vinay Bhat,1981-12-20,1,4,0,2021-11-28
55,410,19,5,1,KGID210340,Naveen Bhat,1983-07-21,1,6,0,2007-07-02
56,410,19,6,2,KGID210349,Suresh Murthy,1995-05-27,1,8,0,2010-07-06
57,410,19,8,4,KGID210352,Chetan Achar,1983-06-04,1,7,0,2021-03-14
58,410,20,5,1,KGID210358,Ramesh Murthy,1983-05-29,1,2,1,2013-11-16
59,410,20,6,2,KGID210365,Abdul Shastri,1987-12-23,1,3,0,2016-07-25
60,410,20,8,4,KGID210369,Manjunath Naik,1993-09-17,1,1,0,2019-08-18
61,411,21,5,1,KGID210377,Imran Shetty,1979-03-02,1,4,0,2006-10-21
62,411,21,6,2,KGID210385,Abdul Naik,1983-06-29,1,2,0,2005-02-16
63,411,21,8,4,KGID210390,Darshan Kulkarni,1995-05-10,1,7,0,2017-08-01
64,411,22,5,1,KGID210398,Chetan Shastri,1988-06-14,1,1,0,2018-03-22
65,411,22,6,2,KGID210405,Darshan Naik,1989-08-16,1,4,0,2003-11-04
66,411,22,8,4,KGID210411,Kavya Murthy,1993-07-22,2,6,0,2003-11-12
67,412,23,5,1,KGID210416,Ganesh Rai,1995-11-24,1,3,0,2011-11-02
68,412,23,6,2,KGID210425,Mahesh Bhat,1982-04-30,1,6,0,2014-10-07
69,412,23,8,4,KGID210430,Lakshmi Poojary,1996-01-05,2,6,1,2018-04-29
70,412,24,5,1,KGID210436,Shivaraj Nayak,1982-06-02,1,8,0,2019-10-27
71,412,24,6,2,KGID210441,Basavaraj Kulkarni,1994-02-20,1,2,0,2021-08-04
72,412,24,8,4,KGID210449,Harish Hegde,1993-11-16,1,2,0,2016-12-27
